,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Центр,Батуми,Кутаиси,desc_en
16,16,28-03-2020 19:34:05,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,3,нет,Тбилиси,2 гр,0.0116,6219,2280,206,80.0,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
17,17,28-03-2020 19:34:05,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,2 гр,0.0114,6141,2252,203,79.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,18,28-03-2020 19:34:05,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0116,6219,2280,206,80.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,28-03-2020 19:34:05,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,11,нет,Тбилиси,2 гр,0.01,5364,1967,178,69.0,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,28-03-2020 19:34:05,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,1,нет,Тбилиси,2 гр,0.0123,6607,2423,219,85.0,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
21,21,28-03-2020 19:34:05,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,10,нет,Тбилиси,2 гр,0.01,5364,1967,178,69.0,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
22,22,28-03-2020 19:34:05,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0115,6141,2252,203,79.0,,True,,,,,,,,2g super Skunk top class buds. Indica
23,23,28-03-2020 19:34:05,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,2,нет,Тбилиси,2 гр,0.0068,3653,1340,121,47.0,,,,,,,,,,2gr Indica dominant Buds
24,24,28-03-2020 19:34:05,Tbilisi,0dec0e1c48,2gr Marijuana Buds -INDICA-,True,1,нет,Тбилиси,2 гр,0.0074,3964,1454,131,51.0,,,,,,,,,,2gr Marijuana Buds -INDICA-
25,25,28-03-2020 19:34:05,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0102,5441,1995,180,70.0,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
26,26,28-03-2020 19:34:05,Tbilisi,4659482266,Marijuana Blackberry 2g. Indica,,2,нет,Тбилиси,2 гр,0.0115,6141,2252,203,79.0,,True,,,,,,,,Marijuana Blackberry 2g. Indica
27,27,28-03-2020 19:34:05,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!! (в упаковке одна бумага которую вы можете сами ножницей поднлить так как вы считайте нужным! или же если вы старец и имейте большой опыт можно целую,,4,нет,Тбилиси,2 гр,0.0051,3001,1111,99,,True,,,35.0,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!! (v upakovke odna bumaga kotoruju vy mozhete sami nozhnitsej podnlit' tak kak vy schitajte nuzhnym! ili zhe esli vy starets i imejte bol'shoj opyt mozhno tseluju
28,28,28-03-2020 19:34:05,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,2 гр,0.0046,2721,998,90,35.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
29,29,28-03-2020 19:34:05,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 3 штуки,,1,нет,Тбилиси,3 гр,0.0065,3858,1429,128,,True,,,45.0,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 3 shtuki
30,30,28-03-2020 19:34:05,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,1,нет,Тбилиси,5 гр,0.0227,12049,4418,399,155.0,True,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
31,31,28-03-2020 19:34:05,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0421,24874,9120,824,320.0,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
32,32,28-03-2020 19:34:05,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
33,33,28-03-2020 19:34:05,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0383,21435,7938,709,,True,,,250.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
34,34,28-03-2020 19:34:39,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,2,нет,Тбилиси,5 гр,0.0245,13137,4817,435,169.0,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
35,35,28-03-2020 19:34:39,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0256,13603,4988,451,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,28-03-2020 19:34:39,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1131,66772,24482,2212,859.0,True,,,,,,,,,VHQ BEST Cocaine 5g.
37,37,28-03-2020 19:34:39,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0288,15469,5672,513,199.0,,,,,,,,,,10 gr georgian weed. Wholesale
38,38,28-03-2020 19:34:39,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0346,18578,6812,616,239.0,,,,,,,,,,10 gr marijuana buds. -indica-
39,39,28-03-2020 19:34:39,Tbilisi,64284550d9,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0304,16324,5985,541,210.0,True,,,,,,,,,10G ---> ONLY BUDS
40,40,28-03-2020 19:34:39,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,2,нет,Тбилиси,10 гр,0.0578,31015,11372,1028,399.0,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
41,41,28-03-2020 19:34:39,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0528,28372,10403,940,365.0,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
42,42,28-03-2020 19:34:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0387,20755,7610,688,267.0,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
43,43,28-03-2020 19:34:39,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0556,31093,11400,1030,400.0,True,,,,,,,,,gashish evro 10g
44,44,28-03-2020 19:34:39,Tbilisi,be97026d1d,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1808,97088,35597,3217,1249.0,,,,,,True,,,,MDMA from Europe!!! 25g SALE!!!
45,45,28-03-2020 19:34:39,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2632,155465,57000,5151,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
46,46,28-03-2020 19:34:39,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,,нет,5,Тбилиси,0.15 гр,0.0219,11660,4275,386,150.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
47,47,28-03-2020 19:34:39,Tbilisi,f8a875c191,0.25G - METADON - VHQ,,8,5,Тбилиси,0.25 гр,0.0256,13603,4988,451,175.0,True,,,,,,,,,0.25G - METADON - VHQ
48,48,28-03-2020 19:34:39,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,3,Тбилиси,1.5 гр,0.11699999999999999,62186,22800,2060,800.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
49,49,28-03-2020 19:34:39,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0292,15547,5700,515,200.0,True,,,,,,,,,✨✨2gram. MDMA✨✨
50,50,28-03-2020 19:34:39,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.054000000000000006,28683,10517,950,369.0,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
51,51,28-03-2020 19:34:39,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0863,45862,16815,1519,590.0,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
52,52,28-03-2020 19:34:39,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0579,31093,11400,1030,400.0,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
53,53,28-03-2020 19:34:39,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
54,54,28-03-2020 19:34:39,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0796,42753,15675,1416,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,28-03-2020 19:34:39,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0245,13137,4817,435,169.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,28-03-2020 19:34:39,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0246,13215,4845,438,170.0,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
57,57,28-03-2020 19:34:39,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,28-03-2020 19:34:39,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,28-03-2020 19:34:39,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,28-03-2020 19:34:39,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0288,17023,6242,564,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,28-03-2020 19:34:39,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0439,23320,8550,773,300.0,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,62,28-03-2020 19:34:39,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,63,28-03-2020 19:34:39,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 5 G,,нет,5,Тбилиси,5 гр,0.2193,116599,42750,3863,1500.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 5 G
64,64,28-03-2020 19:34:39,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.0263,15547,5700,515,200.0,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,65,28-03-2020 19:34:39,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3217,190000,87429,6293,,True,,,,,,,,,reagent 25i nbome. 5gr
66,66,28-03-2020 19:35:08,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1273,67550,24767,2238,869.0,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,67,28-03-2020 19:35:08,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0278,14769,5415,489,190.0,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,28-03-2020 19:35:08,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0716,38011,13937,1259,489.0,True,,,,,,,,,💘✨5g. MDMA ✨💘
69,69,28-03-2020 19:35:08,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0277,14691,5387,487,189.0,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
70,70,28-03-2020 19:35:08,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1305,69959,25650,2318,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,28-03-2020 19:35:08,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1015,54413,19950,1803,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,28-03-2020 19:35:08,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0464,24874,9120,824,320.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,28-03-2020 19:35:08,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.11599999999999999,62186,22800,2060,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,74,28-03-2020 19:35:08,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3227,172955,63413,5730,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
75,75,28-03-2020 19:35:08,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2122,112634,41297,3732,1449.0,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
76,76,28-03-2020 19:35:08,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0541,28683,10517,950,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
77,77,28-03-2020 19:35:08,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0438,23242,8522,770,299.0,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
78,78,28-03-2020 19:35:08,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0877,46562,17072,1543,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
79,79,28-03-2020 19:35:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1595,85506,31350,2833,1100.0,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
80,80,28-03-2020 19:35:08,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3481,186558,68400,6181,2400.0,True,,,,,,,,,100 gr marijuana buds
81,81,28-03-2020 19:35:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2901,155465,57000,5151,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,28-03-2020 19:35:08,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.293,155465,57000,5151,2000.0,True,,,,,,,,,SUBOXIN - HQ - 100 G.
83,83,28-03-2020 19:35:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3626,194331,71250,6439,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,28-03-2020 19:35:08,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2197,116599,42750,3863,1500.0,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,28-03-2020 19:35:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6671,357570,131100,11847,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,28-03-2020 19:35:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0877,582994,213750,19316,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,28-03-2020 19:35:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2327,660726,242250,21891,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,28-03-2020 19:35:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0264,15547,5700,515,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
89,89,28-03-2020 19:35:08,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.028999999999999998,15547,5700,515,200.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
90,90,28-03-2020 19:35:08,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0364,21435,7938,709,,True,,,250.0,,,,,,Rabota na marki (kur'er)
91,91,28-03-2020 19:35:08,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.028999999999999998,15547,5700,515,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,28-03-2020 19:35:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0363,19433,7125,644,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
93,93,28-03-2020 19:35:08,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1952,1165988,427500,38631,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
94,94,28-03-2020 19:36:54,Batumi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,2,нет,Батуми,0.25 гр,0.0276,14769,5415,489,190.0,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
95,95,28-03-2020 19:36:54,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,3,нет,Батуми,0.25 гр,0.028999999999999998,15547,5700,515,200.0,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
96,96,28-03-2020 19:36:54,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,6,нет,Батуми,0.5 гр,0.0106,6219,2280,206,80.0,,,,,,,True,,,MEPHEDRONE 0.5 gr
97,97,28-03-2020 19:36:54,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0175,10289,3810,340,,,,,120.0,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
98,98,28-03-2020 19:36:54,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,1,нет,Батуми,1 гр,0.0251,14769,5415,489,190.0,,,,,,,,True,,NZT-52 limited 1 g muka
99,99,28-03-2020 19:36:54,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.0218,11660,4275,386,150.0,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
100,100,28-03-2020 19:36:54,Batumi,c72111ac1a,NZT-52 limited 2г мука,,3,нет,Батуми,2 гр,0.0449,26429,9690,876,340.0,,,,,,,,True,,NZT-52 limited 2g muka
101,101,28-03-2020 19:36:54,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,20,нет,Батуми,2 гр,0.0059,3498,1283,116,45.0,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
102,102,28-03-2020 19:36:54,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,5,нет,Батуми,4 гр,0.0092,5441,1995,180,70.0,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
103,103,28-03-2020 19:36:54,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,5,нет,Батуми,6 гр,0.0125,7385,2708,245,95.0,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
104,104,28-03-2020 19:36:54,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3193,171012,62700,5666,2200.0,,,,,,,,True,,[100g] SPAIN HASH
