,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
89,07-03-2020 10:59:49,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1612,101276,37695,3359,1500,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,07-03-2020 10:59:49,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0107,6752,2513,224,100,,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
91,07-03-2020 10:59:49,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0048,3376,1257,112,50,,,,,,,,True,,,kur'er v Batumi
92,07-03-2020 10:59:49,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,16879,6283,560,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,07-03-2020 10:59:49,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0145,10128,3770,336,150,,,,,,,,True,,,Rabota na marki (kur'er)
94,07-03-2020 10:59:49,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,16879,6283,560,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
95,07-03-2020 10:59:49,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6102,1012763,376950,33594,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
96,07-03-2020 10:59:49,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,33759,12565,1120,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,07-03-2020 11:01:28,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0116,7292,2714,242,108,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
98,07-03-2020 11:01:28,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0108,6752,2513,224,100,,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
99,07-03-2020 11:01:28,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0145,10128,3770,336,150,,,,,,,,,,True,Rabota na marki (kur'er)
