,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,17-03-2020 12:48:17,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0149,6671,2552,213,90,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,17-03-2020 12:48:17,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0286,14084,5387,449,190,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,17-03-2020 12:48:17,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0379,16827,6435,537,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,17-03-2020 12:48:17,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0182,8080,3090,258,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,17-03-2020 12:48:17,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0164,8080,3090,258,109,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
5,17-03-2020 12:48:17,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.0134,6597,2523,210,89,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
6,17-03-2020 12:48:17,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0165,7339,2807,234,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,17-03-2020 12:48:17,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0173,8080,3090,258,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,17-03-2020 12:48:17,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,4,нет,Тбилиси,0.5 гр,0.0041,1853,709,59,25,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,17-03-2020 12:48:17,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0083,3706,1418,118,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,17-03-2020 12:48:17,Tbilisi,7LHWP,GEOBUDS,1 gr Marijuana Buds -INDICA-,,1,нет,Тбилиси,1 гр,0.0053,2372,907,76,32,True,,,,,,,,,,1 gr Marijuana Buds -INDICA-
11,17-03-2020 12:48:17,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,4,нет,Тбилиси,1 гр,0.0198,8895,3402,284,120,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
12,17-03-2020 12:48:17,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0132,5930,2268,189,80,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
