,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,05-04-2020 23:32:59,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,2,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,05-04-2020 23:32:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0134,7696,2737,255,99.0,True,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,05-04-2020 23:32:59,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.0424,23320,8295,772,300.0,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
3,3,05-04-2020 23:32:59,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,,7,нет,Тбилиси,0.5 гр,0.0106,5830,2074,193,75.0,True,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,4,05-04-2020 23:32:59,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,,,8,нет,Тбилиси,0.5 гр,0.0078,4275,1521,141,55.0,True,,,,,,,,,MEPHEDRONE 0.5 gr
5,5,05-04-2020 23:32:59,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0163,9328,3318,309,120.0,True,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,05-04-2020 23:32:59,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0156,8473,3014,280,109.0,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,05-04-2020 23:32:59,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,,1,нет,Тбилиси,0.65 гр,0.0116,6996,2489,232,90.0,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
8,8,05-04-2020 23:32:59,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,,4,нет,Тбилиси,1 гр,0.0071,3887,1383,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,05-04-2020 23:32:59,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,,2,нет,Тбилиси,1 гр,0.0055,3032,1078,100,39.0,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,05-04-2020 23:32:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,,3,нет,Тбилиси,1 гр,0.0256,14691,5226,486,189.0,True,,,,,,,,,Cocaine Pure VHQ 1g
11,11,05-04-2020 23:32:59,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,,5,нет,Тбилиси,1 гр,0.0848,46640,16590,1543,600.0,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,05-04-2020 23:32:59,Tbilisi,54915c4374,MDMA 1 гр,,,1,2,Тбилиси,1 гр,0.0142,8574,2986,278,,True,True,100.0,,,,,,,MDMA 1 gr
13,13,05-04-2020 23:32:59,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,,5,нет,Тбилиси,1 гр,0.0989,54413,19355,1801,700.0,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,14,05-04-2020 23:32:59,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,,1,нет,Тбилиси,1 гр,0.0919,50526,17973,1672,650.0,True,,,,,,,,,Metadon VHQ 1 24/7
15,15,05-04-2020 23:32:59,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,,4,нет,Тбилиси,1 гр,0.0278,15935,5668,527,205.0,True,,,,,,,,,VHQ BEST Cocaine 1g.
16,16,05-04-2020 23:32:59,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,,3,нет,Тбилиси,1 гр,0.0143,7851,2793,260,101.0,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
