,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
105,105,20-02-2020 00:16:11,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0175,12737,4902,441,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
106,106,20-02-2020 00:16:11,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2618,190000,87429,6563,,,,,,,,,,,,reagent 25i nbome. 5gr
107,107,20-02-2020 00:16:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2632,191062,73530,6609,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
108,108,20-02-2020 00:16:11,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0477,31143,11985,1077,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
109,109,20-02-2020 00:16:11,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0788,52000,23928,1796,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
110,110,20-02-2020 00:16:11,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0385,25411,9779,879,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
111,111,20-02-2020 00:16:11,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,3,Тбилиси,10 гр,0.1755,127375,49020,4406,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
112,112,20-02-2020 00:16:11,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0341,22291,8579,771,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
113,113,20-02-2020 00:16:11,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0772,50950,19608,1762,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
114,114,20-02-2020 00:16:11,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.035,25411,9779,879,399.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
115,115,20-02-2020 00:16:11,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2147,141704,54535,4902,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
116,116,20-02-2020 00:16:11,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0291,19043,7328,659,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
117,117,20-02-2020 00:16:11,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2895,210168,80883,7270,3300.0,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
118,118,20-02-2020 00:16:11,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0682,44581,17157,1542,700.0,,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
119,119,20-02-2020 00:16:11,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0648,44581,17157,1542,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
120,120,20-02-2020 00:16:11,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1053,76425,29412,2644,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
121,121,20-02-2020 00:16:11,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0925,63624,24485,2201,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
122,122,20-02-2020 00:16:11,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0917,60503,23285,2093,950.0,,,,,,,,,,,Hybrid Skunk! 50 gr
123,123,20-02-2020 00:16:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.193,127375,49020,4406,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
124,124,20-02-2020 00:16:11,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1737,114637,44118,3965,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
125,125,20-02-2020 00:16:11,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2413,159218,61275,5508,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
126,126,20-02-2020 00:16:11,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0377,27386,10539,947,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
127,127,20-02-2020 00:16:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.444,292962,112746,10134,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
128,128,20-02-2020 00:16:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7239,477655,183825,16523,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
129,129,20-02-2020 00:16:11,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8204,541342,208335,18726,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
130,130,20-02-2020 00:16:11,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0175,12737,4902,441,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
131,131,20-02-2020 00:16:11,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0175,12737,4902,441,200.0,,,,,,,,,,,Trebuetsja Kur'er
132,132,20-02-2020 00:16:11,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0193,12737,4902,441,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
133,133,20-02-2020 00:16:11,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
134,134,20-02-2020 00:16:41,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4636,955310,367650,33045,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
135,135,20-02-2020 00:17:54,Batumi,c72111ac1a,NZT-52 mind storm limited 1г мука,,5,нет,Батуми,1 гр,0.0167,12101,4657,419,190.0,,,,,,,,True,,,NZT-52 mind storm limited 1g muka
136,136,20-02-2020 00:17:54,Batumi,012f23b5ea,Power Africa 1g,,4,нет,Батуми,1 гр,0.0044,3184,1226,110,50.0,,,,,,,,True,,,Power Africa 1g
137,137,20-02-2020 00:17:54,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,10,Батуми,0.27 гр,0.0222,14457,5564,500,227.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
138,138,20-02-2020 00:17:54,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0176,12737,4902,441,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
139,139,20-02-2020 00:17:54,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0919,60503,23285,2093,950.0,,,,,,,,True,,,Hybrid Skunk! 50 gr
140,140,20-02-2020 00:17:54,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.174,114637,44118,3965,1800.0,,,,,,,,True,,,Hybrid Skunk! 100 gr
141,141,20-02-2020 00:17:54,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.293,191062,73530,6609,3000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
142,142,20-02-2020 00:17:54,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2442,159218,61275,5508,2500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
143,143,20-02-2020 00:17:54,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0098,6369,2451,220,100.0,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
144,144,20-02-2020 00:17:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3184,1226,110,50.0,,,,,,,,True,,,kur'er v Batumi
145,145,20-02-2020 00:17:54,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3184,1226,110,50.0,,,,,,,,True,,,Vakansija Kur'era v Batumi
146,146,20-02-2020 00:17:54,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0069,5000,2301,173,,,,,,,,,True,,,Vakansija Kur'era v Batumi
147,147,20-02-2020 00:17:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.022000000000000002,15922,6128,551,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
148,148,20-02-2020 00:17:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.022000000000000002,15922,6128,551,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
149,149,20-02-2020 00:17:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4636,955310,367650,33045,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
150,150,20-02-2020 00:17:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0483,31844,12255,1102,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
151,151,20-02-2020 00:19:19,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,2,нет,Кутаиси,0.5 гр,0.002,1274,490,44,20.0,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
152,152,20-02-2020 00:19:19,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.0037,2420,931,84,38.0,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
153,153,20-02-2020 00:19:19,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0072,4713,1814,163,74.0,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
154,154,20-02-2020 00:19:19,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0105,6878,2647,238,108.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
155,155,20-02-2020 00:19:19,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0098,6369,2451,220,100.0,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
