,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
13,13,13-03-2020 21:19:26,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0137,6221,2279,200,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,14,13-03-2020 21:19:26,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0164,7777,2845,251,,,95.0,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
15,15,13-03-2020 21:19:26,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,20,нет,Тбилиси,1 гр,0.0085,3879,1421,124,53.0,,,,,,,,,,,Amsterdam weed sativa 1gr
16,16,13-03-2020 21:19:26,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0242,10978,4022,352,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
17,17,13-03-2020 21:19:26,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0277,13101,4799,420,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
18,18,13-03-2020 21:19:26,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0805,40254,14746,1291,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
19,19,13-03-2020 21:19:26,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0129,5855,2145,188,80.0,,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
20,20,13-03-2020 21:19:26,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0075,3440,1260,110,47.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
21,21,13-03-2020 21:19:26,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0301,13833,5067,444,189.0,,,,,,,,,,,Kokain HQ 1g.
22,22,13-03-2020 21:19:26,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0288,13101,4799,420,179.0,,,True,,,,,,,,Kokain KOLUMBIA 1g
23,23,13-03-2020 21:19:26,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1318,65869,24129,2113,900.0,,,,,,,,,,,Metadon 1gr
24,24,13-03-2020 21:19:26,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,15,нет,Тбилиси,1 гр,0.0029,1464,536,47,20.0,,,,True,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
25,25,13-03-2020 21:19:26,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0177,7978,2922,256,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
26,26,13-03-2020 21:19:26,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0193,8783,3217,282,120.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
27,27,13-03-2020 21:19:26,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0103,5123,1877,164,70.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
28,28,13-03-2020 21:19:26,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,2 гр,0.0132,6587,2413,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
29,29,13-03-2020 21:19:26,Tbilisi,64284550d9,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0098,4538,1662,146,62.0,,,,,True,,,,,,2G ---> INDICA
30,30,13-03-2020 21:19:26,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0128,5782,2118,185,79.0,,,,True,,,,,,,2g super Skunk top class buds. Indica
31,31,13-03-2020 21:19:26,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,4,нет,Тбилиси,2 гр,0.0051,2562,938,82,35.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
32,32,13-03-2020 21:19:26,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0586,27738,10161,890,379.0,,,,,,,,,,,Kokain HQ 2g.
33,33,13-03-2020 21:19:26,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0432,20465,7488,662,,,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
34,34,13-03-2020 21:20:13,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0129,6367,2332,204,87.0,,,,,True,,,,,,3G ---> INDICA
35,35,13-03-2020 21:20:13,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0174,7685,2815,246,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
36,36,13-03-2020 21:20:13,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.019,8417,3083,270,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
37,37,13-03-2020 21:20:13,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,11,нет,Тбилиси,4 гр,0.0089,4391,1609,141,60.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
38,38,13-03-2020 21:20:13,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0486,21956,8043,704,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
39,39,13-03-2020 21:20:13,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0632,29470,10782,953,,,360.0,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
40,40,13-03-2020 21:20:13,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0289,12808,4692,411,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
41,41,13-03-2020 21:20:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1288,57599,21099,1847,787.0,,,,,,True,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
42,42,13-03-2020 21:20:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0097,4757,1743,153,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,13-03-2020 21:20:13,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0719,32496,11904,1042,444.0,,,,,,True,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
44,44,13-03-2020 21:20:13,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0597,26714,9786,857,365.0,True,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,45,13-03-2020 21:20:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0437,19541,7158,627,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,46,13-03-2020 21:20:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0147,7246,2654,232,99.0,,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
47,47,13-03-2020 21:20:13,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0628,29275,10724,939,400.0,,,,,,,,,,,gashish evro 10g
48,48,13-03-2020 21:20:13,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1387,62064,22735,1991,848.0,,,,,,True,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
49,49,13-03-2020 21:20:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0446,19761,7239,634,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
50,50,13-03-2020 21:20:13,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0376,16833,6166,540,230.0,,,,,,,,,,,Methadone HQ in city 0.35g
51,51,13-03-2020 21:20:13,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0605,27080,9920,869,370.0,,,,,,,,,,,Methadone HQ in city 0.75g
52,52,13-03-2020 21:20:13,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,1,Тбилиси,1 гр,0.0162,7246,2654,232,99.0,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,53,13-03-2020 21:20:13,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1145,51232,18767,1643,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
54,54,13-03-2020 21:20:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0581,26275,9625,843,359.0,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
55,55,13-03-2020 21:20:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0975,43181,15818,1385,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,13-03-2020 21:20:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0654,29275,10724,939,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,13-03-2020 21:20:13,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.09,40254,14746,1291,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
58,58,13-03-2020 21:20:13,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0255,11417,4182,366,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
59,59,13-03-2020 21:20:13,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0326,14564,5335,467,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,60,13-03-2020 21:20:13,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0262,11710,4290,376,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
61,61,13-03-2020 21:20:13,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0326,14564,5335,467,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,13-03-2020 21:20:13,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0326,14564,5335,467,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
63,63,13-03-2020 21:20:13,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0237,10612,3887,340,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
64,64,13-03-2020 21:20:13,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0326,16028,5871,514,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
65,65,13-03-2020 21:20:13,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,True,нет,1,Тбилиси,5 гр,0.0345,16101,5898,516,220.0,,,,,,,,,,,Hybrid Gagarin. 5g.
66,66,13-03-2020 21:20:13,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0496,21956,8043,704,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
67,67,13-03-2020 21:20:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0242,10978,4022,352,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
68,68,13-03-2020 21:20:42,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0293,14638,5362,469,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
69,69,13-03-2020 21:20:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3801,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
70,70,13-03-2020 21:20:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4393,219565,80430,7042,3000.0,,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,71,13-03-2020 21:20:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1397,62869,23030,2016,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
72,72,13-03-2020 21:20:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0301,13540,4960,434,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
73,73,13-03-2020 21:20:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0796,35789,13110,1148,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
74,74,13-03-2020 21:20:42,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0535,24079,8820,772,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
75,75,13-03-2020 21:20:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.145,65869,24129,2113,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
76,76,13-03-2020 21:20:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1128,51232,18767,1643,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
77,77,13-03-2020 21:20:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0643,29202,10697,937,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
78,78,13-03-2020 21:20:42,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0569,25616,9384,822,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
79,79,13-03-2020 21:20:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1289,58551,21448,1878,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
80,80,13-03-2020 21:20:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3584,162844,59652,5223,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
81,81,13-03-2020 21:20:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2357,106050,38848,3401,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
82,82,13-03-2020 21:20:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.06,27006,9893,866,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
83,83,13-03-2020 21:20:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0486,21883,8016,702,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
84,84,13-03-2020 21:20:42,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2738,124420,45577,3991,1700.0,,,,,,,,,,,MDMA 20 g
85,85,13-03-2020 21:20:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0974,43840,16059,1406,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,13-03-2020 21:20:42,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1082,51232,18767,1643,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
87,87,13-03-2020 21:20:42,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1757,87826,32172,2817,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
88,88,13-03-2020 21:20:42,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1544,73115,26783,2345,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
89,89,13-03-2020 21:20:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3221,146376,53620,4695,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
90,90,13-03-2020 21:20:42,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3254,146376,53620,4695,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
91,91,13-03-2020 21:20:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4027,182971,67025,5869,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
92,92,13-03-2020 21:20:42,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.244,109782,40215,3521,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
93,93,13-03-2020 21:20:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7409,336666,123326,10798,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,94,13-03-2020 21:20:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.208,548912,201075,17606,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
95,95,13-03-2020 21:20:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3691,622100,227885,19953,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
96,96,13-03-2020 21:20:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0293,14638,5362,469,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
97,97,13-03-2020 21:20:42,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.022000000000000002,10978,4022,352,150.0,,,,,,,,,,,Rabota na marki (kur'er)
98,98,13-03-2020 21:20:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0322,14638,5362,469,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
99,99,13-03-2020 21:20:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0403,18297,6703,587,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
100,100,13-03-2020 21:21:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4776,1097823,402150,35211,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
101,101,13-03-2020 21:22:44,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0293,14638,5362,469,200.0,,,,,,,,True,,,NZT-52 limited 1 g muka
102,102,13-03-2020 21:22:44,Batumi,012f23b5ea,Power Africa 1g,,1,нет,Батуми,1 гр,0.0073,3659,1341,117,50.0,,,,,,,,True,,,Power Africa 1g
103,103,13-03-2020 21:22:44,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0528,26348,9652,845,360.0,,,,,,,,True,,,NZT-52 limited 2g muka
104,104,13-03-2020 21:22:44,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2421,109782,40215,3521,1500.0,,,,,,,,True,,,Skunk! 50 gr.
105,105,13-03-2020 21:22:44,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.044000000000000004,19761,7239,634,270.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
