,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Nadzaladevi,Vake,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
101,101,04-04-2020 10:28:53,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Батуми,1 гр,0.0144,7851,2793,261,101.0,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
102,102,04-04-2020 10:28:53,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,9,нет,Батуми,2 гр,0.0049,2954,1051,98,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
103,103,04-04-2020 10:28:53,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3146,171012,60830,5686,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
104,104,04-04-2020 10:28:53,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,13,Батуми,5 гр,0.026000000000000002,15547,5530,517,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
105,105,04-04-2020 10:28:53,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2888,155465,55300,5169,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
106,106,04-04-2020 10:28:53,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2166,116599,41475,3877,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
107,107,04-04-2020 10:28:53,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.013000000000000001,7773,2765,258,100.0,,,,,,,,,True,,kur'er v Batumi
108,108,04-04-2020 10:28:53,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0325,19433,6913,646,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
109,109,04-04-2020 10:28:53,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0325,19433,6913,646,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
110,110,04-04-2020 10:28:53,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.039,23320,8295,775,300.0,,,,,,,,,True,,Rabota na marki (kur'er)
111,111,04-04-2020 10:28:53,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1642,1165988,414750,38769,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
112,112,04-04-2020 10:28:53,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0715,38866,13825,1292,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
113,113,04-04-2020 10:30:19,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.027000000000000003,14847,5281,494,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
114,114,04-04-2020 10:30:19,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0205,11271,4009,375,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
115,115,04-04-2020 10:30:19,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0517,28372,10092,943,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,116,04-04-2020 10:30:19,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,2,нет,Кутаиси,2 гр,0.0049,2954,1051,98,38.0,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
117,117,04-04-2020 10:30:19,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,2 гр,0.0191,10494,3733,349,135.0,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
118,118,04-04-2020 10:30:19,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0389,21376,7604,711,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
