,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,Дигоми,Авлобари,Gldani,Varketili,Didube,€,Центр,Батуми,Кутаиси,desc_en
103,103,04-05-2020 22:27:34,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0319,21818,8145,724,300.0,,,,,,,,,,True,,,shishki marihuany 5G
104,104,04-05-2020 22:27:34,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2341,159998,59730,5311,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
105,105,04-05-2020 22:27:34,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1658,147,,,,,,,,,,56.0,,True,,Marki N-VoooooM!!!! 4 shtuki
106,106,04-05-2020 22:27:34,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,8000,2987,266,110.0,,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
107,107,04-05-2020 22:27:34,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1653,112990,51992,3750,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
108,108,04-05-2020 22:27:34,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2617,178890,82316,5937,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
109,109,04-05-2020 22:27:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7273,2715,241,100.0,,,,,,,,,,,True,,kur'er v Batumi
110,110,04-05-2020 22:27:34,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,18182,6788,604,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
111,111,04-05-2020 22:27:34,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,18182,6788,604,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
112,112,04-05-2020 22:27:34,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6107,1090895,407250,36215,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
113,113,04-05-2020 22:27:34,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,36363,13575,1207,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
114,114,04-05-2020 22:28:43,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,16000,5973,531,220.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
115,115,04-05-2020 22:28:43,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0553,37818,14118,1255,520.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,116,04-05-2020 22:28:43,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0407,28363,10589,942,390.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
117,117,04-05-2020 22:28:43,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,14545,5430,483,200.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
