,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,27-06-2020 23:36:18,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet,,2,нет,Тбилиси,1 гр,0.0315,21084,8205,727,,,305,,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet
11,27-06-2020 23:36:18,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0113,7535,2932,260,,True,109,,,,,,,,,,2 G Hybrid Marijuana Buds
12,27-06-2020 23:36:18,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0114,7604,2959,262,,,110,,,,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
13,27-06-2020 23:36:18,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0619,41408,16113,1428,,True,599,,,,,,,,,,Cocaine Pure VHQ 2 g
14,27-06-2020 23:36:18,Tbilisi,9Y6T,WeedShop,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0038,2765,1076,95,,True,40,,,,,,,,,,listja+boshki v trihomah 2g
15,27-06-2020 23:36:18,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.009,6014,2340,207,,True,87,,,,,True,,,,,3 gr georgian weed. Package on magnet
16,27-06-2020 23:36:18,Tbilisi,2LY77,SveetWeed,5 + GRAMM NEW BEASTWEED,,1,нет,Тбилиси,5 гр,0.0099,7258,2825,250,,True,105,,,,,,,,,,5 + GRAMM NEW BEASTWEED
17,27-06-2020 23:36:18,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,13,нет,Тбилиси,5 гр,0.0072,4770,1856,164,,True,69,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
18,27-06-2020 23:36:18,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,8,нет,Тбилиси,5 гр,0.014,10300,4008,355,,True,149,,,,,,,,,,5g. GEO Marihuana boshki
19,27-06-2020 23:36:18,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0247,16522,6429,570,,True,239,,,,,,,,,,10 gr georgian weed. Package on magnet
20,27-06-2020 23:36:18,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,17,нет,Тбилиси,10 гр,0.0135,8918,3470,308,,True,129,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
21,27-06-2020 23:36:18,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,,2,нет,Тбилиси,10 гр,0.0014,968,377,33,,True,14,,,,,,,,,,GABAGAMA 10 shtuk
22,27-06-2020 23:36:18,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0451,31108,12105,1073,,True,450,,,,,,,,,,Gashish Evro 10gr
23,27-06-2020 23:36:18,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,2,нет,Тбилиси,11 гр,0.0169,12443,4842,429,,True,180,,,,,,,,,,11+ GRAMM BEASTWEED NEW
24,27-06-2020 23:36:18,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.047,34564,13450,1192,,True,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,27-06-2020 23:36:18,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр,,8,нет,Тбилиси,15 гр,0.0093,6222,2421,215,,True,90,,,,,,,,,,Silver haze leaves list'ja 15gr
26,27-06-2020 23:36:18,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0771,53713,20901,1852,,True,777,,,,,,,,,,Gashish Evro 20gr
27,27-06-2020 23:36:18,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2086,138257,53800,4768,,True,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,27-06-2020 23:36:18,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,5,Тбилиси,1 гр,0.0047,3111,1211,107,,True,45,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
29,27-06-2020 23:36:18,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,8,Тбилиси,2 гр,0.0093,6222,2421,215,,True,90,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
30,27-06-2020 23:36:18,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0517,34219,13316,1180,,True,495,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,27-06-2020 23:36:18,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0087,5816,2261,201,75,True,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
32,27-06-2020 23:36:18,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0124,8295,3228,286,,True,120,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
33,27-06-2020 23:36:18,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0773,51155,19906,1764,,True,740,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,27-06-2020 23:36:18,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0413,27651,10760,954,,True,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0124,8295,3228,286,,True,120,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
36,27-06-2020 23:37:37,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0258,17282,6725,596,,True,250,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,27-06-2020 23:37:37,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0568,38021,14795,1311,,True,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0279,18665,7263,644,,True,270,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0289,19356,7532,668,,True,280,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
40,27-06-2020 23:37:37,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0284,19010,7398,656,,True,275,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0248,16591,6456,572,,True,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,27-06-2020 23:37:37,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0289,19356,7532,668,,True,280,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0279,18665,7263,644,,True,270,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,27-06-2020 23:37:37,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15139,5891,522,,True,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0181,12097,4708,417,,True,175,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
46,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0279,18665,7263,644,,True,270,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.155,103693,40350,3576,,True,1500,,,,,,,,,,Gerojn (sirets) 5 gr
48,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,нет,9,Тбилиси,5 гр,0.0067,4493,1749,155,,True,65,,,,,,,,,,marki n-boom 5sht.
49,27-06-2020 23:37:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2583,190000,87429,6552,,True,,,,,,,,,,,reagent 25i nbome. 5gr
50,27-06-2020 23:37:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2819,207385,80700,7152,,,3000,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,27-06-2020 23:37:37,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1294,85719,33356,2956,,True,1240,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
52,27-06-2020 23:37:37,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,15,Тбилиси,5 гр,0.0209,13826,5380,477,,True,200,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,27-06-2020 23:37:37,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.093,62216,24210,2146,,True,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,27-06-2020 23:37:37,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0568,38021,14795,1311,,True,550,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,27-06-2020 23:37:37,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0724,48390,18830,1669,,True,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,27-06-2020 23:37:37,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0434,29034,11298,1001,,True,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,27-06-2020 23:37:37,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0827,55303,21520,1907,,True,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0341,22812,8877,787,,True,330,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
59,27-06-2020 23:37:37,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.23,153811,59853,5304,,True,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
60,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0103,6913,2690,238,,True,100,,,,,,,,,,Marki n-boom 10 sht.
61,27-06-2020 23:37:37,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2274,152082,59180,5245,,True,2200,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
62,27-06-2020 23:37:37,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2589,171438,66712,5912,,True,2480,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,27-06-2020 23:37:37,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0418,27651,10760,954,,True,400,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,27-06-2020 23:37:37,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0455,30241,11759,1043,390,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,27-06-2020 23:37:37,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0835,55303,21520,1907,,True,800,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,27-06-2020 23:37:37,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2481,165908,64560,5721,,True,2400,,,,,,,,,,100 gr marijuana buds
67,27-06-2020 23:37:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2067,138257,53800,4768,,True,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,27-06-2020 23:37:37,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2584,172821,67250,5960,,True,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,27-06-2020 23:37:37,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6098,407858,158710,14065,,True,5900,,,,,,,,,,180 gr marihuana persoalno
70,27-06-2020 23:38:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4755,317991,123740,10966,,True,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,27-06-2020 23:38:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7753,518463,201750,17879,,True,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,27-06-2020 23:38:31,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8787,587591,228650,20263,,True,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,27-06-2020 23:38:31,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0188,13826,5380,477,,True,200,,,,,,,,,,KURYER..500RUB.+BONUS
74,27-06-2020 23:38:31,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,13826,5380,477,,True,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,27-06-2020 23:38:31,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0258,17282,6725,596,,True,250,,,,,,,,,,Rabota na marki (kur'er)
76,27-06-2020 23:38:31,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5647,1036926,403500,35759,,True,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
77,27-06-2020 23:40:30,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,7,10,Батуми,0.25 гр,0.0261,17282,6725,596,,,250,,,,,,,,True,,METADON - 0.25 - SALE
78,27-06-2020 23:40:30,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1551,103693,40350,3576,,,1500,,,,,,,,True,,Gerojn (sirets) 5 gr
79,27-06-2020 23:40:30,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2274,152082,59180,5245,,,2200,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
80,27-06-2020 23:40:30,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.169,112990,51992,3897,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,27-06-2020 23:40:30,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2675,178900,82321,6170,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,27-06-2020 23:40:30,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6913,2690,238,,,100,,,,,,,,True,,kur'er v Batumi
83,27-06-2020 23:40:30,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17282,6725,596,,,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,27-06-2020 23:40:30,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17282,6725,596,,,250,,,,,,,,True,,Ischu kur'era v Gruzii!
85,27-06-2020 23:40:30,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0207,13826,5380,477,,,200,,,,,,,,True,,Kur'er Batumi na marihuanu
86,27-06-2020 23:40:30,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5647,1036926,403500,35759,,,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
87,27-06-2020 23:40:30,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0517,34564,13450,1192,,,500,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
