,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Тбилиси,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
28,28,26-04-2020 08:53:05,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,29,26-04-2020 08:53:05,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0258,16363,5990,539,219.0,,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,30,26-04-2020 08:53:05,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,26-04-2020 08:53:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2997,190000,87429,6265,,,,True,,,,,,,,reagent 25i nbome. 5gr
32,32,26-04-2020 08:53:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.3536,224149,82050,7389,3000.0,,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
33,33,26-04-2020 08:53:05,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1138,64928,23767,2140,869.0,,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
34,34,26-04-2020 08:54:13,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0247,14121,5169,466,189.0,,,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
35,35,26-04-2020 08:54:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0249,14196,5197,468,190.0,,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,26-04-2020 08:54:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.064,36536,13374,1204,489.0,,,True,,,,,,,,💘✨5g. MDMA ✨💘
37,37,26-04-2020 08:54:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0247,14121,5169,466,189.0,,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
38,38,26-04-2020 08:54:13,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,5,Тбилиси,10 гр,0.0167,9630,3540,318,,,,True,,,120.0,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
39,39,26-04-2020 08:54:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1167,67245,24615,2217,900.0,,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,26-04-2020 08:54:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0908,52301,19145,1724,700.0,,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,26-04-2020 08:54:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0415,23909,8752,788,320.0,,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,26-04-2020 08:54:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1037,59773,21880,1970,800.0,,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,43,26-04-2020 08:54:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2885,166244,60854,5480,2225.0,,,True,,,,,,,,Amfetamin [White] [Import] 10G
44,44,26-04-2020 08:54:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1897,108264,39630,3569,1449.0,,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,45,26-04-2020 08:54:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0483,27570,10092,909,369.0,,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
46,46,26-04-2020 08:54:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0392,22340,8178,736,299.0,,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
47,47,26-04-2020 08:54:13,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.6547,373582,136750,12315,5000.0,,,True,,,,,,,,METADON - 20 G.
48,48,26-04-2020 08:54:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0784,44755,16383,1475,599.0,,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
49,49,26-04-2020 08:54:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1426,82188,30085,2709,1100.0,,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
50,50,26-04-2020 08:54:13,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3112,179319,65640,5911,2400.0,,,True,,,,,,,,100 gr marijuana buds
51,51,26-04-2020 08:54:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2593,149433,54700,4926,2000.0,,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,52,26-04-2020 08:54:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3241,186791,68375,6158,2500.0,,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,26-04-2020 08:54:13,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7649,440826,161365,14532,5900.0,,,True,,,,,,,,180 gr marihuana persoalno
54,54,26-04-2020 08:54:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5964,343695,125810,11330,4600.0,,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
55,55,26-04-2020 08:54:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9724,560372,205125,18473,7500.0,,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
56,56,26-04-2020 08:54:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.102,635089,232475,20936,8500.0,,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,26-04-2020 08:54:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0236,14943,5470,493,200.0,,,True,,,,,,,,KURYER..500RUB.+BONUS
58,58,26-04-2020 08:54:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0259,14943,5470,493,200.0,,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,59,26-04-2020 08:54:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0324,18679,6838,616,250.0,,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
60,60,26-04-2020 08:54:13,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0259,14943,5470,493,200.0,,,True,,,,,,,,Rabota na marki (kur'er)
61,61,26-04-2020 08:54:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9624,1120745,410250,36945,15000.0,,,True,,,,,,,,Vakansija optovogo kur'era na mef
62,62,26-04-2020 08:56:18,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,,,18.0,,True,,,Batumi n-booom 1 shtuka
63,63,26-04-2020 08:56:18,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2852,164376,60170,5419,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
64,64,26-04-2020 08:56:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7472,2735,246,100.0,,,,,,,,True,,,kur'er v Batumi
65,65,26-04-2020 08:56:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0295,18679,6838,616,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
66,66,26-04-2020 08:56:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0295,18679,6838,616,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
67,67,26-04-2020 08:56:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9622,1120745,410250,36945,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
68,68,26-04-2020 08:56:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0648,37358,13675,1232,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
69,69,26-04-2020 08:58:06,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0243,14121,5169,466,189.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,26-04-2020 08:58:06,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0576,33174,12143,1094,444.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,26-04-2020 08:58:06,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0432,24881,9108,820,333.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,72,26-04-2020 08:58:06,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0259,14943,5470,493,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
