,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,06-02-2020 21:30:49,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0306,21351,8432,732,340,,,,,,,,,NZT-52 mind storm limited 3g muka
46,06-02-2020 21:30:49,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0099,6217,2455,213,99,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
47,06-02-2020 21:30:49,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0765,53378,21080,1831,850,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
48,06-02-2020 21:30:49,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0288,20095,7936,689,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
49,06-02-2020 21:30:49,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.085,53378,21080,1831,850,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
50,06-02-2020 21:30:49,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 280mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0175,10990,4340,377,175,,,,,,,,,5x Extasy Duracell 280mg MDMA.
51,06-02-2020 21:30:49,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.015,9420,3720,323,150,,,,,,,,,"LSD - 250 ug, 5 pieces"
52,06-02-2020 21:30:49,Tbilisi,0V3X,arinaneb,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0158,10990,4340,377,175,True,,,,,,,,gorilla glue 5 g
53,06-02-2020 21:30:49,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.02,13188,5208,452,210,,,,,,,,,gashish evro 5g
54,06-02-2020 21:30:49,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0395,25056,9895,859,399,True,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
55,06-02-2020 21:30:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,5,нет,Тбилиси,10 гр,0.0264,16767,6622,575,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
56,06-02-2020 21:30:49,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0225,15699,6200,539,250,True,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
57,06-02-2020 21:30:49,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.038,25119,9920,862,400,,,,,,,,,gashish evro 10g
58,06-02-2020 21:30:49,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,22,нет,Тбилиси,10 гр,0.009,6280,2480,215,100,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
59,06-02-2020 21:30:49,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -30 %,True,2,нет,Тбилиси,11 гр,0.1156,103626,40920,3565,,,1500,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
60,06-02-2020 21:30:49,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0446,28259,11160,969,450,,,,,,,,,15x Extasy Duracell 280mg MDMA.
61,06-02-2020 21:30:49,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0738,48794,19270,1674,777,,,,,,,,,Gashish Evro 20gr
62,06-02-2020 21:30:49,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2003,179618,70928,6180,,,2600,,,,,,,* SALE *COCAINE Peru 20+2 gr
63,06-02-2020 21:30:49,Tbilisi,6ZR,Geogrowers,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.0765,53378,21080,1831,850,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
64,06-02-2020 21:30:49,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.025,15699,6200,539,250,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
65,06-02-2020 21:30:49,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.035,21979,8680,754,350,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
66,06-02-2020 21:30:49,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.06,37679,14880,1292,600,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
67,06-02-2020 21:31:46,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0218,13816,5456,474,220,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
68,06-02-2020 21:31:46,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0396,25119,9920,862,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
69,06-02-2020 21:31:46,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0238,15071,5952,517,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
70,06-02-2020 21:31:46,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0248,15699,6200,539,250,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
71,06-02-2020 21:31:46,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1351,94197,37200,3231,1500,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
72,06-02-2020 21:31:46,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0248,15699,6200,539,250,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
73,06-02-2020 21:31:46,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0248,15699,6200,539,250,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
74,06-02-2020 21:31:46,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0197,12497,4935,429,199,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
75,06-02-2020 21:31:46,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0248,15699,6200,539,250,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
76,06-02-2020 21:31:46,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0197,13753,5431,472,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
77,06-02-2020 21:31:46,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13125,5183,450,209,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
78,06-02-2020 21:31:46,Tbilisi,V4QM9,PotHero420,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13125,5183,450,209,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
79,06-02-2020 21:31:46,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13125,5183,450,209,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
80,06-02-2020 21:31:46,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0248,15699,6200,539,250,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
81,06-02-2020 21:31:46,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018,12560,4960,431,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
82,06-02-2020 21:31:46,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2008,140000,64421,4784,,,,,,,,,,reagent 25i nbome. 5gr
83,06-02-2020 21:31:46,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2702,188393,74400,6462,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
84,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0189,11869,4687,407,189,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
85,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0185,11618,4588,398,185,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
86,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0489,30708,12127,1053,489,,,,,,,,,💘✨5g. MDMA ✨💘
87,06-02-2020 21:31:46,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0395,25056,9895,859,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
88,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.04,25119,9920,862,400,,,,,,,,,10 gram. Amfetamin SPEED
89,06-02-2020 21:31:46,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1801,125595,49600,4308,2000,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
90,06-02-2020 21:31:46,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0793,50238,19840,1723,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
91,06-02-2020 21:31:46,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0359,25056,9895,859,399,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
92,06-02-2020 21:31:46,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2204,139725,55180,4793,2225,,,,,,,,,Amfetamin [White] [Import] 10G
93,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,️‍🌈10. LSD 200ug.🌈,True,нет,3,Тбилиси,10 гр,0.0319,20032,7911,687,319,,,,,,,,,️‍🌈10. LSD 200ug.🌈
94,06-02-2020 21:31:46,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0808,50741,20038,1740,808,,,,,,,,,💘✨10gram MDMA ✨💘
95,06-02-2020 21:31:46,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2972,207232,81840,7108,3300,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
96,06-02-2020 21:31:46,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.057,37679,14880,1292,600,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
97,06-02-2020 21:31:46,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1081,75357,29760,2585,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
98,06-02-2020 21:31:46,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0856,56518,22320,1939,900,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
99,06-02-2020 21:31:46,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0941,59658,23560,2046,950,,,,,,,,,Hybrid Skunk! 50 gr
100,06-02-2020 21:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1981,125595,49600,4308,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
101,06-02-2020 21:34:29,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1783,113036,44640,3877,1800,,,,,,,,,Hybrid Skunk! 100 gr
102,06-02-2020 21:34:29,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2476,156994,62000,5385,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
103,06-02-2020 21:34:29,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0387,27003,10664,926,430,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
104,06-02-2020 21:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4556,288869,114080,9908,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
105,06-02-2020 21:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7428,470983,186000,16155,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
106,06-02-2020 21:34:29,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8418,533780,210800,18309,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
107,06-02-2020 21:34:29,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.018,12560,4960,431,200,,,,,,,,,KURYER..500RUB.+BONUS
