,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
10,10,29-07-2020 11:37:34,Tbilisi,ebadfc162f,BlueBerry Is Back 1G шишки последние !! LAST ONES !!!,True,3,нет,Тбилиси,1 гр,0.0062,4962,1925,166,69.0,,,,,True,,,,,,,BlueBerry Is Back 1G shishki poslednie !! LAST ONES !!!
11,11,29-07-2020 11:37:34,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",True,2,нет,Тбилиси,1 гр,0.0045,3956,1535,133,55.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
12,12,29-07-2020 11:37:34,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0045,3956,1535,133,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,13,29-07-2020 11:37:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0045,3596,1395,121,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
14,14,29-07-2020 11:37:34,Tbilisi,ebadfc162f,уро Hammer 1G Super strong weed Last Ones !!!!,,1,нет,Тбилиси,1 гр,0.0059,4675,1814,157,65.0,,,,,True,,,,,,,uro Hammer 1G Super strong weed Last Ones !!!!
15,15,29-07-2020 11:37:34,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,,1,нет,Тбилиси,1 гр,0.005,3956,1535,133,55.0,,True,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
16,16,29-07-2020 11:37:34,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0089,7120,2762,239,99.0,,,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,17,29-07-2020 11:37:34,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0098,7839,3041,263,109.0,,,,,True,,,,,,,2 G Hybrid Marijuana Buds
18,18,29-07-2020 11:37:34,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0108,8630,3348,289,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,29-07-2020 11:37:34,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0108,8630,3348,289,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,29-07-2020 11:37:34,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.009000000000000001,7192,2790,241,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,29-07-2020 11:37:34,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0108,8630,3348,289,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
22,22,29-07-2020 11:37:34,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0079,6329,2455,212,88.0,,,,,,,,,,,,2gr HYBRID buds
23,23,29-07-2020 11:37:34,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0108,8630,3348,289,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,24,29-07-2020 11:37:34,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.009000000000000001,7911,3069,265,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
25,25,29-07-2020 11:37:34,Tbilisi,e771f4c371,Skunk 2G (25 % THC)*VHQ* IMPORT,,1,нет,Тбилиси,2 гр,0.0099,7911,3069,265,110.0,,,True,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT
26,26,29-07-2020 11:37:34,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0135,10788,4185,362,150.0,,,True,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
27,27,29-07-2020 11:37:34,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0094,8271,3209,277,115.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
28,28,29-07-2020 11:37:34,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0244,19418,7533,651,270.0,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,29-07-2020 11:37:34,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,5 гр,0.0197,17261,6696,578,240.0,,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
30,30,29-07-2020 11:37:34,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0287,25172,9765,844,350.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
31,31,29-07-2020 11:37:34,Tbilisi,52fe6d0af9,VHQ Methadon 0.5G max 12 Hours for adrss,True,нет,1,Тбилиси,0.5 гр,0.0497,39556,15345,1326,550.0,,,,,,,,,,,,VHQ Methadon 0.5G max 12 Hours for adrss
32,32,29-07-2020 11:37:34,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0903,71920,27900,2410,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
33,33,29-07-2020 11:37:34,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0331,26121,10137,877,,310.0,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,34,29-07-2020 11:37:34,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0361,28768,11160,964,400.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,29-07-2020 11:38:47,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0226,17980,6975,603,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
36,36,29-07-2020 11:38:47,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0244,19418,7533,651,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,29-07-2020 11:38:47,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0248,19778,7673,663,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,38,29-07-2020 11:38:47,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0217,17261,6696,578,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,29-07-2020 11:38:47,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0253,20137,7812,675,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,29-07-2020 11:38:47,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0244,19418,7533,651,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,29-07-2020 11:38:47,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.018000000000000002,15750,6110,528,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,29-07-2020 11:38:47,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,5,Тбилиси,5 гр,0.0212,16901,6557,566,235.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
43,43,29-07-2020 11:38:47,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0197,17261,6696,578,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
44,44,29-07-2020 11:38:47,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0212,16901,6557,566,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
45,45,29-07-2020 11:38:47,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0244,19418,7533,651,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,29-07-2020 11:38:47,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2169,190000,87429,6367,,,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,29-07-2020 11:38:47,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2463,215759,83700,7231,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,29-07-2020 11:38:47,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0214,16852,6540,566,,200.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
49,49,29-07-2020 11:38:47,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0813,64728,25110,2169,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,29-07-2020 11:38:47,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0497,39556,15345,1326,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,29-07-2020 11:38:47,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0632,50344,19530,1687,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,29-07-2020 11:38:47,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0379,30206,11718,1012,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,29-07-2020 11:38:47,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0722,57536,22320,1928,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,29-07-2020 11:38:47,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0379,30206,11718,1012,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
55,55,29-07-2020 11:38:47,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2009,160021,62078,5363,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,29-07-2020 11:38:47,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.037000000000000005,29487,11439,988,410.0,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
57,57,29-07-2020 11:38:47,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.047,37075,14388,1244,,440.0,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
58,58,29-07-2020 11:38:47,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0416,32862,12753,1103,,390.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,59,29-07-2020 11:38:47,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0534,46748,18135,1567,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
60,60,29-07-2020 11:38:47,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2167,172607,66960,5785,2400.0,,,,,,,,,,,,100 gr marijuana buds
61,61,29-07-2020 11:38:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2257,179799,69750,6026,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,29-07-2020 11:38:47,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5328,424326,164610,14221,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
63,63,29-07-2020 11:38:47,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0903,71920,27900,2410,1000.0,,,True,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
64,64,29-07-2020 11:38:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7675,611317,237150,20488,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,29-07-2020 11:38:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0164,14384,5580,482,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,29-07-2020 11:38:47,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.009000000000000001,7192,2790,241,100.0,,,True,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
67,67,29-07-2020 11:38:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0226,17980,6975,603,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,29-07-2020 11:38:47,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0493,43152,16740,1446,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
69,69,29-07-2020 11:38:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0181,14384,5580,482,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,29-07-2020 11:39:53,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0226,17980,6975,603,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
71,71,29-07-2020 11:39:53,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0451,35960,13950,1205,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
72,72,29-07-2020 11:39:53,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0451,35960,13950,1205,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
73,73,29-07-2020 11:39:53,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3668,1078794,418500,36155,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,74,29-07-2020 11:39:53,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0451,35960,13950,1205,500.0,,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
75,75,29-07-2020 11:42:18,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,2,нет,Батуми,0.2 гр,0.0127,10027,3891,337,,119.0,,,,,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
76,76,29-07-2020 11:42:18,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0095,7499,2910,252,,89.0,,,,,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
77,77,29-07-2020 11:42:18,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,4,нет,Батуми,0.4 гр,0.0245,19296,7488,648,,229.0,,,,,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
78,78,29-07-2020 11:42:18,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,19,нет,Батуми,0.5 гр,0.0037,2949,1145,99,,35.0,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
79,79,29-07-2020 11:42:18,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,1,2,Батуми,1 гр,0.0331,26121,10137,877,,310.0,,,,,,,,,True,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
80,80,29-07-2020 11:42:18,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.047,37075,14388,1244,,440.0,,,,,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
81,81,29-07-2020 11:42:18,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0417,32862,12753,1103,,390.0,,,,,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
82,82,29-07-2020 11:42:18,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0426,33620,13047,1128,,399.0,,,,,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
83,83,29-07-2020 11:42:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0082,7192,2790,241,100.0,,,,,,,,,,,True,kur'er v Batumi
84,84,29-07-2020 11:42:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0205,17980,6975,603,250.0,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
85,85,29-07-2020 11:42:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0205,17980,6975,603,250.0,,,,,,,,,,,True,Ischu kur'era v Gruzii!
86,86,29-07-2020 11:42:18,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0181,14384,5580,482,200.0,,,,,,,,,,,True,Kur'er Batumi na marihuanu
87,87,29-07-2020 11:42:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3674,1078794,418500,36155,15000.0,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
88,88,29-07-2020 11:42:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0452,35960,13950,1205,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
