,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Gldani,Didube,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
16,17-06-2020 17:02:08,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0222,16676,6456,570,,True,,240,,,,,,,,,5g. marihuana shishki Critical
17,17-06-2020 17:02:08,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.018,12159,4708,416,,True,,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,17-06-2020 17:02:08,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0244,16606,6429,568,,True,,239,,,,,,,,,10 gr georgian weed. Package on magnet
19,17-06-2020 17:02:08,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,,4,нет,Тбилиси,10 гр,0.0014,973,377,33,,True,,14,,,,,,,,,GABAGAMA 10 shtuk
20,17-06-2020 17:02:08,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,10 гр,0.0079,5906,2287,202,,True,,85,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
21,17-06-2020 17:02:08,Tbilisi,LGRP8,Walker12,Химка !! 10 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,10 гр,0.0064,4516,1749,154,,,,65,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
22,17-06-2020 17:02:08,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",,3,нет,Тбилиси,10 гр,0.0088,6601,2556,226,,True,,95,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
23,17-06-2020 17:02:08,Tbilisi,2LY77,SveetWeed,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0185,13896,5380,475,,True,,200,,,,,,,,,11 - GRAMM BEASTWEED
24,17-06-2020 17:02:08,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0463,34741,13450,1188,,True,,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,17-06-2020 17:02:08,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2056,138964,53800,4753,,True,,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,17-06-2020 17:02:08,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0357,24319,9415,832,,True,,350,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
27,17-06-2020 17:02:08,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.038,25639,9926,877,,True,,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,17-06-2020 17:02:08,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0596,40230,15575,1376,,True,,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,17-06-2020 17:02:08,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0408,27793,10760,951,,True,,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,17-06-2020 17:02:08,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.056,38215,14795,1307,,True,,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,17-06-2020 17:02:08,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0239,16328,6322,558,,True,,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,17-06-2020 17:02:08,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0245,16676,6456,570,,True,,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,17-06-2020 17:02:08,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0234,15981,6187,547,,True,,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,17-06-2020 17:02:49,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0245,16676,6456,570,,True,,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,17-06-2020 17:02:49,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0234,15981,6187,547,,True,,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,17-06-2020 17:02:49,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15217,5891,520,,True,,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,17-06-2020 17:02:49,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0239,16328,6322,558,,True,,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,17-06-2020 17:02:49,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2533,190000,87429,6473,,True,,,,,,,,,,,reagent 25i nbome. 5gr
39,17-06-2020 17:02:49,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2779,208447,80700,7129,,,,3000,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0987,66633,25797,2279,,True,,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13202,5111,452,,True,,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0503,33977,13154,1162,,True,,489,,,,,,,,,💘✨5g. MDMA ✨💘
43,17-06-2020 17:02:49,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0917,62534,24210,2139,,True,,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,17-06-2020 17:02:49,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0408,27793,10760,951,,True,,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,17-06-2020 17:02:49,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0713,48638,18830,1663,,True,,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,17-06-2020 17:02:49,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0428,29183,11298,998,,True,,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,17-06-2020 17:02:49,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0815,55586,21520,1901,,True,,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,17-06-2020 17:02:49,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2267,154598,59853,5287,,True,,2225,,,,,,,,,Amfetamin [White] [Import] 10G
49,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1604,108323,41937,3705,,True,,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0812,54821,21224,1875,,True,,789,,,,,,,,,💘✨10gram MDMA ✨💘
51,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.038,25639,9926,877,,True,,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,17-06-2020 17:02:49,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0451,30569,11837,1050,390,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1389,104223,40350,3564,,True,,1500,,,,,,,,,✨💘20g MDMA💘✨
54,17-06-2020 17:02:49,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0616,41620,16113,1423,,True,,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,17-06-2020 17:02:49,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1323,90257,34943,3087,,True,,1299,,,,,,,,,50 gr georgian weed. Package on magnet
56,17-06-2020 17:02:49,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2546,173636,67223,5938,,True,,2499,,,,,,,,,100 gr georgian weed. Package on magnet
57,17-06-2020 17:02:49,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2445,166757,64560,5703,,True,,2400,,,,,,,,,100 gr marijuana buds
58,17-06-2020 17:02:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2038,138964,53800,4753,,True,,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,17-06-2020 17:02:49,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2547,173706,67250,5941,,True,,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,17-06-2020 17:02:49,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6011,409945,158710,14020,,True,,5900,,,,,,,,,180 gr marihuana persoalno
61,17-06-2020 17:02:49,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4369,295299,114325,10099,,True,,4250,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
62,17-06-2020 17:02:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4687,319618,123740,10931,,True,,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,17-06-2020 17:02:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7641,521117,201750,17822,,True,,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,17-06-2020 17:02:49,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.866,590599,228650,20199,,True,,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,17-06-2020 17:02:49,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13896,5380,475,,True,,200,,,,,,,,,KURYER..500RUB.+BONUS
66,17-06-2020 17:02:49,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13896,5380,475,,True,,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,17-06-2020 17:02:49,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5422,1042233,403500,35645,,True,,15000,,,,,,,,,Vakansija optovogo kur'era na mef
68,17-06-2020 17:04:08,Batumi,XH0NP,XX-PABLO-XX,METADON - 025,,нет,4,Батуми,0.25 гр,0.036,24319,9415,832,,,,350,,,,,,,True,,METADON - 025
69,17-06-2020 17:04:08,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,3,Батуми,10 гр,0.0428,29183,11298,998,,,,420,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
70,17-06-2020 17:04:08,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1657,112990,51992,3849,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
71,17-06-2020 17:04:08,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2624,178900,82321,6094,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
72,17-06-2020 17:04:08,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6948,2690,238,,,,100,,,,,,,True,,kur'er v Batumi
73,17-06-2020 17:04:08,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17371,6725,594,,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
74,17-06-2020 17:04:08,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17371,6725,594,,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
75,17-06-2020 17:04:08,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0204,13896,5380,475,,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
76,17-06-2020 17:04:08,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5423,1042233,403500,35645,,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
77,17-06-2020 17:04:08,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34741,13450,1188,,,,500,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
