,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Тбилиси,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,01-04-2020 05:42:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,6,нет,Тбилиси,0.2 гр,0.0046,2721,982,91,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,01-04-2020 05:42:13,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,11,нет,Тбилиси,0.25 гр,0.0276,14769,5330,491,190.0,True,True,,,,,,,,"Metadon VHQ 0,25"
2,2,01-04-2020 05:42:13,Tbilisi,f25c0d6c5c,0.5 a-pvp white,,1,нет,Тбилиси,0.5 гр,0.0131,7000,3221,230,,,,True,,,,,,,0.5 a-pvp white
3,3,01-04-2020 05:42:13,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.016,8473,3057,282,109.0,,,True,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,01-04-2020 05:42:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,2,нет,Тбилиси,0.7 гр,0.0119,6996,2525,233,90.0,,,True,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
5,5,01-04-2020 05:42:13,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,11,нет,Тбилиси,1 гр,0.0079,4664,1683,155,60.0,,,True,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,01-04-2020 05:42:13,Tbilisi,f25c0d6c5c,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0224,12000,5522,395,,,,True,,,,,,,1 a-pvp white
7,7,01-04-2020 05:42:13,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0073,3887,1403,129,50.0,,,True,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,01-04-2020 05:42:13,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,12,нет,Тбилиси,1 гр,0.0057,3032,1094,101,39.0,,,,True,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,01-04-2020 05:42:13,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,11,нет,Тбилиси,1 гр,0.0055,2954,1066,98,38.0,,,True,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,01-04-2020 05:42:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0263,14691,5301,489,189.0,,,True,,,,,,,Cocaine Pure VHQ 1g
11,11,01-04-2020 05:42:13,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0054,3187,1150,106,41.0,,,True,,,,,,,Hybrid Ana-sha 1G.
12,12,01-04-2020 05:42:13,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0798,42753,15428,1422,550.0,,,True,,,,,,,Metadon VHQ 1 24/7
13,13,01-04-2020 05:42:13,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,2,нет,Тбилиси,1 гр,0.0062,3343,1206,111,43.0,,,True,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
14,14,01-04-2020 05:42:13,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0218,11660,4208,388,150.0,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
15,15,01-04-2020 05:42:13,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0271,14691,5301,489,189.0,,,True,,,,,,,Kokain HQ 1g.
16,16,01-04-2020 05:42:13,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,True,2,нет,Тбилиси,1 гр,0.026000000000000002,13914,5021,463,179.0,,,,,,,,,,Kokain KOLUMBIA 1g
17,17,01-04-2020 05:42:13,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1187,69959,25245,2327,900.0,,,True,,,,,,,Metadon 1gr
