,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
13,13,21-03-2020 06:59:46,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0254,13970,5030,458,179.0,,True,,,,,,,,,,Kokain KOLUMBIA 1g
14,14,21-03-2020 06:59:46,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1159,70240,25290,2303,900.0,True,,,,,,,,,,,Metadon 1gr
15,15,21-03-2020 06:59:46,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,6,нет,Тбилиси,1 гр,0.0099,5385,1939,177,69.0,True,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
16,16,21-03-2020 06:59:46,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,2 гр,0.0135,8195,2951,269,105.0,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,21-03-2020 06:59:46,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0113,6244,2248,205,80.0,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,21-03-2020 06:59:46,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,2 гр,0.0112,6166,2220,202,79.0,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
19,19,21-03-2020 06:59:46,Tbilisi,64284550d9,2G ---> ONLY BUDS,True,15,нет,Тбилиси,2 гр,0.0086,4761,1714,156,61.0,,,,,,,,,,,,2G ---> ONLY BUDS
20,20,21-03-2020 06:59:46,Tbilisi,64284550d9,2G ---> Plan,,2,нет,Тбилиси,2 гр,0.0043,2341,843,77,30.0,True,,,,,,,,,,,2G ---> Plan
21,21,21-03-2020 06:59:46,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,1,нет,Тбилиси,2 гр,0.0498,27706,9976,908,355.0,,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
22,22,21-03-2020 06:59:46,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0046,2810,1012,92,36.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
23,23,21-03-2020 06:59:46,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,1,нет,Тбилиси,2 гр,0.0515,29579,10650,970,379.0,True,,,,,,,,,,,Kokain HQ 2g.
24,24,21-03-2020 06:59:46,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0142,7726,2782,253,99.0,True,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
25,25,21-03-2020 06:59:46,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0412,24974,8992,819,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,21-03-2020 06:59:46,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0455,26088,9409,856,,True,,,310.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,27,21-03-2020 06:59:46,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.025,13658,4918,448,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,21-03-2020 06:59:46,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,2,нет,Тбилиси,5 гр,0.1115,61421,22115,2014,787.0,,,True,,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
29,29,21-03-2020 06:59:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.0084,5073,1827,166,65.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
30,30,21-03-2020 06:59:46,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0461,25364,9133,832,325.0,,,True,,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
31,31,21-03-2020 06:59:46,Tbilisi,edfbad0151,THC Snow Leavs 6G,,3,нет,Тбилиси,6 гр,0.0056,3122,1124,102,40.0,True,,,,,,,,,,,THC Snow Leavs 6G
32,32,21-03-2020 06:59:46,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0517,28486,10257,934,365.0,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,33,21-03-2020 06:59:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0378,20838,7503,683,267.0,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,34,21-03-2020 07:00:24,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0128,7726,2782,253,99.0,True,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,21-03-2020 07:00:24,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0544,31218,11240,1024,400.0,True,,,,,,,,,,,gashish evro 10g
36,36,21-03-2020 07:00:24,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.09,49558,17844,1625,635.0,,,True,,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
37,37,21-03-2020 07:00:24,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2577,156089,56200,5118,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,38,21-03-2020 07:00:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,13,5,Тбилиси,0.27 гр,0.0358,19511,7025,640,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
39,39,21-03-2020 07:00:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.1073,58533,21075,1919,750.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
40,40,21-03-2020 07:00:24,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.0992,54631,19670,1791,700.0,True,,,,,,,,,,,Methadone HQ in city 1.4g
41,41,21-03-2020 07:00:24,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0286,15609,5620,512,200.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
42,42,21-03-2020 07:00:24,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0844,46046,16579,1510,590.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,21-03-2020 07:00:24,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0567,31218,11240,1024,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,21-03-2020 07:00:24,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0779,42924,15455,1408,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,21-03-2020 07:00:24,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,2,Тбилиси,5 гр,0.0221,12175,4384,399,156.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,46,21-03-2020 07:00:24,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0282,15531,5592,509,199.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,47,21-03-2020 07:00:24,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0227,12487,4496,409,160.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,21-03-2020 07:00:24,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0282,15531,5592,509,199.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,21-03-2020 07:00:24,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0282,15531,5592,509,199.0,True,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
50,50,21-03-2020 07:00:24,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0205,11316,4075,371,145.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,21-03-2020 07:00:24,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0282,17092,6154,560,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,21-03-2020 07:00:24,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0429,23413,8430,768,300.0,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
53,53,21-03-2020 07:00:24,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0213,11707,4215,384,150.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,54,21-03-2020 07:00:24,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0258,15609,5620,512,200.0,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
55,55,21-03-2020 07:00:24,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3136,190000,87429,6224,,True,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,21-03-2020 07:00:24,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3865,234133,84300,7677,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,21-03-2020 07:00:24,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1229,67040,24138,2198,859.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,58,21-03-2020 07:00:24,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,3,Тбилиси,5 гр,0.0265,14438,5199,473,185.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
59,59,21-03-2020 07:00:24,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.07,38164,13741,1251,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
60,60,21-03-2020 07:00:24,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0471,25677,9245,842,329.0,True,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
61,61,21-03-2020 07:00:24,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0258,14048,5058,461,180.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,62,21-03-2020 07:00:24,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1275,70240,25290,2303,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
63,63,21-03-2020 07:00:24,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0992,54631,19670,1791,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,21-03-2020 07:00:24,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0453,24974,8992,819,320.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,21-03-2020 07:00:24,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0501,27316,9835,896,350.0,True,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
66,66,21-03-2020 07:00:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1134,62435,22480,2047,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,21-03-2020 07:00:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3153,173649,62523,5694,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,21-03-2020 07:00:46,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2074,113086,40717,3708,1449.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,21-03-2020 07:00:46,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0528,28798,10369,944,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,21-03-2020 07:00:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0428,23335,8402,765,299.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,71,21-03-2020 07:00:46,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0857,46749,16832,1533,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,72,21-03-2020 07:00:46,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1546,93653,33720,3071,1200.0,True,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
73,73,21-03-2020 07:00:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2834,156089,56200,5118,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,21-03-2020 07:00:46,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2863,156089,56200,5118,2000.0,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,75,21-03-2020 07:00:46,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3543,195111,70250,6398,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,76,21-03-2020 07:00:46,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2147,117066,42150,3839,1500.0,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
77,77,21-03-2020 07:00:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6519,359004,129260,11772,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
78,78,21-03-2020 07:00:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0628,585332,210750,19193,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,79,21-03-2020 07:00:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2046,663377,238850,21752,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,80,21-03-2020 07:00:46,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0258,15609,5620,512,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
81,81,21-03-2020 07:00:46,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0193,11707,4215,384,150.0,True,,,,,,,,,,,Rabota na marki (kur'er)
82,82,21-03-2020 07:00:46,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0283,15609,5620,512,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,21-03-2020 07:00:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0354,19511,7025,640,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,21-03-2020 07:00:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.145,1170665,421500,38387,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,21-03-2020 07:01:47,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,24,нет,Батуми,1 гр,0.0245,14828,5339,486,190.0,,,,,,,,,True,,,NZT-52 limited 1 g muka
86,86,21-03-2020 07:01:47,Batumi,c72111ac1a,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0438,26535,9554,870,340.0,,,,,,,,,True,,,NZT-52 limited 2g muka
87,87,21-03-2020 07:01:47,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3118,171697,61820,5630,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
88,88,21-03-2020 07:01:47,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0258,15609,5620,512,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
89,89,21-03-2020 07:01:47,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2863,156089,56200,5118,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
90,90,21-03-2020 07:01:47,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2147,117066,42150,3839,1500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,91,21-03-2020 07:01:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0129,7804,2810,256,100.0,,,,,,,,,True,,,kur'er v Batumi
92,92,21-03-2020 07:01:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0322,19511,7025,640,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,93,21-03-2020 07:01:47,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0193,11707,4215,384,150.0,,,,,,,,,True,,,Rabota na marki (kur'er)
94,94,21-03-2020 07:01:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0322,19511,7025,640,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
95,95,21-03-2020 07:01:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.145,1170665,421500,38387,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
96,96,21-03-2020 07:01:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0709,39022,14050,1280,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,97,21-03-2020 07:02:54,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,1 гр,0.0288,15999,5761,525,205.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
98,98,21-03-2020 07:02:54,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0251,13970,5030,458,179.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
99,99,21-03-2020 07:02:54,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0546,30359,10931,995,389.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
100,100,21-03-2020 07:02:54,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0234,13033,4693,427,167.0,,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! KUTAISI!!!
101,101,21-03-2020 07:02:54,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0449,24974,8992,819,320.0,,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! KUTAISI!!!
102,102,21-03-2020 07:02:54,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0193,11707,4215,384,150.0,,,,,,,,,,,True,Rabota na marki (kur'er)
