,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
11,11,13-08-2020 11:41:40,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
12,12,13-08-2020 11:41:40,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0333,28488,10795,956,389.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
13,13,13-08-2020 11:41:40,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,14,13-08-2020 11:41:40,Tbilisi,67187efef3,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3735,1415,125,51.0,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
15,15,13-08-2020 11:41:40,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,16,нет,Тбилиси,1 гр,0.0041,3589,1360,120,49.0,,,,,,,,,,,,1gr HYBRID o.g
16,16,13-08-2020 11:41:40,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,13,нет,Тбилиси,1 гр,0.0049,4174,1582,140,57.0,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
17,17,13-08-2020 11:41:40,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,11,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
18,18,13-08-2020 11:41:40,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3955,1499,133,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
19,19,13-08-2020 11:41:40,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4248,1610,143,58.0,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
20,20,13-08-2020 11:41:40,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4028,1526,135,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
21,21,13-08-2020 11:41:40,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,1,нет,Тбилиси,1 гр,0.0042,4028,1526,135,55.0,,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
22,22,13-08-2020 11:41:40,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,10,нет,Тбилиси,1 гр,0.0036,3222,1221,108,44.0,,,,,,,,,,,,TYson Budds 1G Skidka 5%
23,23,13-08-2020 11:41:40,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3662,1388,123,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
24,24,13-08-2020 11:41:40,Tbilisi,3c9bc6f8e9,"Успейте попробовать. Урожай заканчивается. Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0042,4028,1526,135,55.0,,,,,,,,,,,,"Uspejte poprobovat'. Urozhaj zakanchivaetsja. Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
25,25,13-08-2020 11:41:40,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0028,2563,971,86,35.0,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
26,26,13-08-2020 11:41:40,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,2 гр,0.0085,7250,2747,243,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
27,27,13-08-2020 11:41:40,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0084,7250,2747,243,99.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
28,28,13-08-2020 11:41:40,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7324,2775,246,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
29,29,13-08-2020 11:41:40,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0072,6225,2359,209,85.0,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
30,30,13-08-2020 11:41:40,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0075,6445,2442,216,88.0,,,,,,,,,,,,2gr HYBRID buds
31,31,13-08-2020 11:41:40,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0079,6811,2581,229,93.0,True,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
32,32,13-08-2020 11:41:40,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",True,1,нет,Тбилиси,2 гр,0.0085,8056,3053,270,110.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
33,33,13-08-2020 11:41:40,Tbilisi,e771f4c371,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE,,1,нет,Тбилиси,2 гр,0.0096,8276,3136,278,113.0,,,True,,,,,,,,,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE
34,34,13-08-2020 11:41:40,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,2,нет,Тбилиси,2 гр,0.0085,7250,2747,243,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
35,35,13-08-2020 11:41:40,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,1,нет,Тбилиси,2 гр,0.0085,7250,2747,243,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
36,36,13-08-2020 11:42:42,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,4,нет,Тбилиси,2 гр,0.0062,5859,2220,197,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
37,37,13-08-2020 11:42:42,Tbilisi,e771f4c371,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0127,10985,4163,369,150.0,,,True,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
38,38,13-08-2020 11:42:42,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,1,нет,Тбилиси,3 гр,0.0021,1758,666,59,24.0,True,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
39,39,13-08-2020 11:42:42,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6591,2498,221,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
40,40,13-08-2020 11:42:42,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0045,4028,1526,135,55.0,,,True,,,,,,,,,Suboxene 4mg
41,41,13-08-2020 11:42:42,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0185,17576,6660,590,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
42,42,13-08-2020 11:42:42,Tbilisi,7bd1a5deba,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0161,15306,5800,514,209.0,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
43,43,13-08-2020 11:42:42,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0212,18309,6938,615,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,44,13-08-2020 11:42:42,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0229,19773,7493,664,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,45,13-08-2020 11:42:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0233,20140,7631,676,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
46,46,13-08-2020 11:42:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0203,17576,6660,590,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,47,13-08-2020 11:42:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0237,20506,7770,688,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,48,13-08-2020 11:42:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,19773,7493,664,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,13-08-2020 11:42:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0169,16038,6077,538,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,13-08-2020 11:42:42,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0185,17576,6660,590,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
51,51,13-08-2020 11:42:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0212,18309,6938,615,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,13-08-2020 11:42:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1997,190000,87429,6379,,,,,,,,,,,,,reagent 25i nbome. 5gr
53,53,13-08-2020 11:42:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2309,219705,83250,7375,3000.0,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,13-08-2020 11:42:42,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0466,40279,15263,1352,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,13-08-2020 11:42:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0593,51265,19425,1721,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,13-08-2020 11:42:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0356,30759,11655,1032,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,13-08-2020 11:42:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0677,58588,22200,1967,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,13-08-2020 11:42:42,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,7,Тбилиси,10 гр,0.0012,1025,389,34,14.0,,,,,,,,,,,,GABAGAMA 10 shtuk
59,59,13-08-2020 11:42:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1884,162948,61744,5470,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,13-08-2020 11:42:42,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.05,47603,18038,1598,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,61,13-08-2020 11:42:42,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2032,175764,66600,5900,2400.0,,,,,,,,,,,,100 gr marijuana buds
62,62,13-08-2020 11:42:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2117,183088,69375,6146,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,13-08-2020 11:42:42,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4995,432087,163725,14504,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
64,64,13-08-2020 11:42:42,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0243,21000,9663,705,,,,,,,True,,,,,,GABAGAMA 250 shtuk
65,65,13-08-2020 11:42:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7196,622498,235875,20896,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,13-08-2020 11:42:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0212,18309,6938,615,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,13-08-2020 11:42:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14647,5550,492,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,68,13-08-2020 11:42:42,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0212,18309,6938,615,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
69,69,13-08-2020 11:42:42,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5639,2137,189,77.0,,,,,,,,,,,,RoSS Uboj 2gr
70,70,13-08-2020 11:42:42,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2463,234352,88800,7867,3200.0,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
71,71,13-08-2020 11:42:42,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
72,72,13-08-2020 11:43:28,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0424,36618,13875,1229,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
73,73,13-08-2020 11:43:28,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2822,1098527,416250,36875,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,74,13-08-2020 11:43:28,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0424,36618,13875,1229,500.0,,,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
75,75,13-08-2020 11:45:21,Batumi,f8a875c191,METADON - 0.30 - SALE,,1,нет,Батуми,0.3 гр,0.0257,21971,8325,737,300.0,,,,,,,,,True,,,METADON - 0.30 - SALE
76,76,13-08-2020 11:45:21,Batumi,67187efef3,1g hindu kish best buds BTC 1% SALE,,6,нет,Батуми,1 гр,0.0043,3735,1415,125,51.0,,,,,,,,,True,,,1g hindu kish best buds BTC 1% SALE
77,77,13-08-2020 11:45:21,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0028,2417,916,81,33.0,,,,,,,,,True,,,Melkie shishki (Indica) 2g
78,78,13-08-2020 11:45:21,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0423,36618,13875,1229,500.0,,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
79,79,13-08-2020 11:45:21,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.04,34296,13039,1151,,,,,,,,,,True,,399.0,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
80,80,13-08-2020 11:45:21,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0391,33523,12745,1125,,,,,,,,,,True,,390.0,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
81,81,13-08-2020 11:45:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18309,6938,615,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
82,82,13-08-2020 11:45:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18309,6938,615,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
83,83,13-08-2020 11:45:21,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14647,5550,492,200.0,,,,,,,,,True,,,Kur'er Batumi na marihuanu
84,84,13-08-2020 11:45:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2815,1098527,416250,36875,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
85,85,13-08-2020 11:45:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0423,36618,13875,1229,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
