,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
34,34,16-04-2020 10:08:32,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0528,29486,11000,980,400.0,,,,,,,,,,,,gashish evro 10g
35,35,16-04-2020 10:10:00,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1026,57276,21368,1904,777.0,,,,,,,,,,,,Gashish Evro 20gr
36,36,16-04-2020 10:10:00,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2501,147429,55000,4901,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,16-04-2020 10:10:00,Tbilisi,2f51af8159,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,9,Тбилиси,0.2 гр,0.0052,2801,1045,93,38.0,,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
38,38,16-04-2020 10:10:00,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,3,Тбилиси,1 гр,0.0058,3096,1155,103,42.0,,True,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
39,39,16-04-2020 10:10:00,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1 грамм (порошок),True,нет,1,Тбилиси,1 гр,0.0137,8067,2995,268,,,,,100.0,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1 gramm (poroshok)
40,40,16-04-2020 10:10:00,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0513,27201,10148,904,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,41,16-04-2020 10:10:00,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0413,24326,9075,809,330.0,,True,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
42,42,16-04-2020 10:10:00,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.08199999999999999,43492,16225,1446,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,16-04-2020 10:10:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.055,29486,11000,980,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,16-04-2020 10:10:00,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.022000000000000002,11794,4400,392,160.0,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
45,45,16-04-2020 10:10:00,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0757,40543,15125,1348,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,46,16-04-2020 10:10:00,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12531,4675,417,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,47,16-04-2020 10:10:00,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0274,14669,5473,488,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,48,16-04-2020 10:10:00,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,14669,5473,488,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,16-04-2020 10:10:00,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16143,6023,537,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,16-04-2020 10:10:00,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,14669,5473,488,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,51,16-04-2020 10:10:00,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0527,28236,10483,939,,,,,350.0,,,,,,,,MDMA 5 gr!!!
52,52,16-04-2020 10:10:00,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3223,190000,87429,6310,,,,,,,,,,,,,reagent 25i nbome. 5gr
53,53,16-04-2020 10:10:00,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3751,221144,82500,7352,3000.0,,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,16-04-2020 10:10:00,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1207,64058,23898,2130,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,55,16-04-2020 10:10:00,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0263,13932,5198,463,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
56,56,16-04-2020 10:10:00,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0264,14006,5225,466,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,16-04-2020 10:10:00,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0679,36046,13448,1198,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
58,58,16-04-2020 10:10:00,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0263,13932,5198,463,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,59,16-04-2020 10:10:00,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1238,66343,24750,2206,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,16-04-2020 10:10:00,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0963,51600,19250,1715,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,16-04-2020 10:10:00,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044000000000000004,23589,8800,784,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,16-04-2020 10:10:00,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.11,58972,22000,1960,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,16-04-2020 10:10:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.306,164015,61188,5453,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,16-04-2020 10:10:00,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.0151,8067,2995,268,,,,,100.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
65,65,16-04-2020 10:10:00,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2013,106812,39848,3551,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,66,16-04-2020 10:10:00,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0513,27201,10148,904,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,67,16-04-2020 10:10:00,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0415,22041,8223,733,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
68,68,16-04-2020 10:10:31,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,1,2,Тбилиси,20 гр,0.0557,29854,11138,993,405.0,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
69,69,16-04-2020 10:10:31,Tbilisi,28bf667d16,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.451,241710,90173,8036,3279.0,,,,,,,,,,,,Cocaine Fishscale 20g
70,70,16-04-2020 10:10:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0832,44155,16473,1468,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,16-04-2020 10:10:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1513,81086,30250,2696,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,72,16-04-2020 10:10:31,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3301,176915,66000,5881,2400.0,,,,,,,,,,,,100 gr marijuana buds
73,73,16-04-2020 10:10:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2751,147429,55000,4901,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,16-04-2020 10:10:31,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2778,147429,55000,4901,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,75,16-04-2020 10:10:31,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3439,184286,68750,6127,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,76,16-04-2020 10:10:31,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8115,434916,162250,14459,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
77,77,16-04-2020 10:10:31,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4333,232201,86625,7719,3150.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
78,78,16-04-2020 10:10:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6327,339087,126500,11273,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,16-04-2020 10:10:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0316,552859,206250,18380,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,16-04-2020 10:10:31,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1691,626573,233750,20830,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,16-04-2020 10:10:31,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.025,14743,5500,490,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,16-04-2020 10:10:31,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0275,14743,5500,490,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,16-04-2020 10:10:31,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0344,18429,6875,613,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,16-04-2020 10:10:31,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0819,1105718,412500,36759,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,16-04-2020 10:11:46,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3029,162172,60500,5391,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
86,86,16-04-2020 10:11:46,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0413,24326,9075,809,330.0,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
87,87,16-04-2020 10:11:46,Batumi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 25 штук!!!,,нет,2,Батуми,25 гр,0.0377,20168,7488,671,,,,,250.0,,,,,True,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 25 shtuk!!!
88,88,16-04-2020 10:11:46,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2781,147429,55000,4901,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,89,16-04-2020 10:11:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7371,2750,245,100.0,,,,,,,,,True,,,kur'er v Batumi
90,90,16-04-2020 10:11:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,18429,6875,613,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,16-04-2020 10:11:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,18429,6875,613,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,16-04-2020 10:11:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0841,1105718,412500,36759,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,93,16-04-2020 10:11:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0688,36857,13750,1225,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,16-04-2020 10:13:35,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0198,10689,3988,355,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,95,16-04-2020 10:13:35,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0497,26906,10038,894,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,16-04-2020 10:13:35,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0375,20271,7563,674,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,16-04-2020 10:13:35,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,нет,10,Кутаиси,10 гр,0.0151,8067,2995,268,,,,,100.0,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
