,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
14,14,05-04-2020 19:20:23,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,3,нет,Тбилиси,1 гр,0.0143,7851,2793,260,101.0,,True,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
15,15,05-04-2020 19:20:23,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1162,69959,24885,2315,900.0,True,,,,,,,,,,Metadon 1gr
16,16,05-04-2020 19:20:23,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,9,нет,Тбилиси,1 гр,0.0026,1555,553,51,20.0,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
17,17,05-04-2020 19:20:23,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,2 гр,0.0098,5364,1908,177,69.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,05-04-2020 19:20:23,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,3,нет,Тбилиси,2 гр,0.0098,5364,1908,177,69.0,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,05-04-2020 19:20:23,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.01,5441,1936,180,70.0,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
20,20,05-04-2020 19:20:23,Tbilisi,ae784bef73,New ! Big Buds ! 2G,,2,нет,Тбилиси,2 гр,0.0083,4975,1770,165,64.0,True,,,,,,,,,,New ! Big Buds ! 2G
21,21,05-04-2020 19:20:23,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,8,нет,Тбилиси,2 гр,0.0045,2721,968,90,35.0,True,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
22,22,05-04-2020 19:20:23,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,2,нет,Тбилиси,2 гр,0.0045,2721,968,90,35.0,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
23,23,05-04-2020 19:20:23,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0436,24874,8848,823,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,05-04-2020 19:20:23,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0422,23320,8295,772,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,05-04-2020 19:20:23,Tbilisi,64284550d9,5G ---> ONLY BUDS,,7,нет,Тбилиси,5 гр,0.0149,8162,2903,270,105.0,,True,,,,,,,,,5G ---> ONLY BUDS
26,26,05-04-2020 19:20:23,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),,2,нет,Тбилиси,5 гр,0.0183,10028,3567,332,129.0,,True,True,,,,,,,,5gr marijuana buds -indica- (hight quality)
27,27,05-04-2020 19:20:23,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0251,13603,4839,450,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,05-04-2020 19:20:23,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0071,4275,1521,141,55.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,05-04-2020 19:20:23,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,6 гр,0.0103,6219,2212,206,80.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
30,30,05-04-2020 19:20:23,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0297,16246,5779,538,209.0,,,True,,,,,,,,10 gr marijuana buds. -indica-
31,31,05-04-2020 19:20:23,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0567,31015,11032,1026,399.0,,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
32,32,05-04-2020 19:20:23,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0518,28372,10092,939,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,33,05-04-2020 19:20:23,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,1,3,Тбилиси,10 гр,0.0142,8574,2986,278,,True,,,100.0,,True,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
34,34,05-04-2020 19:21:01,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1059,60398,21484,1999,777.0,True,,,,,,,,,,Gashish Evro 20gr
35,35,05-04-2020 19:21:01,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2582,155465,55300,5144,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,05-04-2020 19:21:01,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0316,17148,5972,556,,True,,,200.0,,,,,,,METADON - 0.25 G.
37,37,05-04-2020 19:21:01,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0287,15547,5530,514,200.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
38,38,05-04-2020 19:21:01,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0529,28683,10203,949,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
39,39,05-04-2020 19:21:01,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0846,45862,16314,1518,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,05-04-2020 19:21:01,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0568,31093,11060,1029,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,05-04-2020 19:21:01,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0227,12437,4424,412,160.0,True,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
42,42,05-04-2020 19:21:01,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0781,42753,15208,1415,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,05-04-2020 19:21:01,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.024,13137,4673,435,169.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,05-04-2020 19:21:01,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0241,13215,4701,437,170.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,05-04-2020 19:21:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0283,15469,5502,512,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,05-04-2020 19:21:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,7,Тбилиси,5 гр,0.0283,15469,5502,512,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,05-04-2020 19:21:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0283,17023,6055,563,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,05-04-2020 19:21:01,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.043,23320,8295,772,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
49,49,05-04-2020 19:21:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0283,15469,5502,512,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,05-04-2020 19:21:01,Tbilisi,54915c4374,МДМА 5 гр!!!,,нет,2,Тбилиси,5 гр,0.0427,25722,8958,834,,True,,,300.0,,,,,,,MDMA 5 gr!!!
51,51,05-04-2020 19:21:01,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0258,15547,5530,514,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
52,52,05-04-2020 19:21:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3156,190000,87429,6381,,True,,,,,,,,,,reagent 25i nbome. 5gr
53,53,05-04-2020 19:21:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3873,233198,82950,7717,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,05-04-2020 19:21:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1247,67550,24028,2235,869.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,55,05-04-2020 19:21:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0273,14769,5254,489,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,56,05-04-2020 19:21:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0701,38011,13521,1258,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
57,57,05-04-2020 19:21:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0271,14691,5226,486,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,58,05-04-2020 19:21:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1278,69959,24885,2315,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,59,05-04-2020 19:21:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0994,54413,19355,1801,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,05-04-2020 19:21:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0454,24874,8848,823,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,05-04-2020 19:21:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1136,62186,22120,2058,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,05-04-2020 19:21:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.316,172955,61521,5723,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,05-04-2020 19:21:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2079,112634,40065,3727,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,64,05-04-2020 19:21:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0529,28683,10203,949,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,65,05-04-2020 19:21:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0429,23242,8267,769,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,66,05-04-2020 19:22:06,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,нет,8,Тбилиси,20 гр,0.0575,31482,11198,1042,405.0,True,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
67,67,05-04-2020 19:22:06,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0859,46562,16562,1541,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,68,05-04-2020 19:22:06,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,,нет,13,Тбилиси,50 гр,0.1419,77655,27622,2570,999.0,True,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
69,69,05-04-2020 19:22:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1562,85506,30415,2829,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
70,70,05-04-2020 19:22:06,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3409,186558,66360,6173,2400.0,True,,,,,,,,,,100 gr marijuana buds
71,71,05-04-2020 19:22:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.284,155465,55300,5144,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,72,05-04-2020 19:22:06,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2869,155465,55300,5144,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
73,73,05-04-2020 19:22:06,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3551,194331,69125,6431,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,05-04-2020 19:22:06,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2152,116599,41475,3858,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,75,05-04-2020 19:22:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6533,357570,127190,11832,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,76,05-04-2020 19:22:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0652,582994,207375,19292,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,77,05-04-2020 19:22:06,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2072,660726,235025,21864,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,78,05-04-2020 19:22:06,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0258,15547,5530,514,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
79,79,05-04-2020 19:22:06,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 2500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0284,15547,5530,514,200.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 2500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
80,80,05-04-2020 19:22:06,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0284,15547,5530,514,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,05-04-2020 19:22:06,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0355,19433,6913,643,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,82,05-04-2020 19:22:06,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1497,1165988,414750,38583,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,05-04-2020 19:23:20,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,1,нет,Батуми,1 гр,0.0144,7851,2793,260,101.0,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
84,84,05-04-2020 19:23:20,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,7,нет,Батуми,2 гр,0.0049,2954,1051,98,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
85,85,05-04-2020 19:23:20,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3127,171012,60830,5659,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
86,86,05-04-2020 19:23:20,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0258,15547,5530,514,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
87,87,05-04-2020 19:23:20,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2871,155465,55300,5144,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
88,88,05-04-2020 19:23:20,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2153,116599,41475,3858,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,89,05-04-2020 19:23:20,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0129,7773,2765,257,100.0,,,,,,,,,True,,kur'er v Batumi
90,90,05-04-2020 19:23:20,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0323,19433,6913,643,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,91,05-04-2020 19:23:20,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0323,19433,6913,643,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
92,92,05-04-2020 19:23:20,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0388,23320,8295,772,300.0,,,,,,,,,True,,Rabota na marki (kur'er)
93,93,05-04-2020 19:23:20,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1515,1165988,414750,38583,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,05-04-2020 19:23:20,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0711,38866,13825,1286,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,05-04-2020 19:24:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.0269,14847,5281,491,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,05-04-2020 19:24:56,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0204,11271,4009,373,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,05-04-2020 19:24:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0514,28372,10092,939,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,98,05-04-2020 19:24:56,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.019,10494,3733,347,135.0,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
99,99,05-04-2020 19:24:56,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0387,21376,7604,707,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
