,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,13-07-2020 02:44:34,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0114,7947,3039,272,99.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,13-07-2020 02:44:34,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7224,2763,247,90.0,True,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,13-07-2020 02:44:34,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0034,2351,899,80,,True,33.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,13-07-2020 02:44:34,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,2,нет,Тбилиси,0.5 гр,0.017,11610,4442,396,,True,163.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
4,4,13-07-2020 02:44:34,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,4,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
5,5,13-07-2020 02:44:34,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,13-07-2020 02:44:34,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,13-07-2020 02:44:34,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,13-07-2020 02:44:34,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,13-07-2020 02:44:34,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
