,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Дигоми,$,Saburtalo,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
48,48,18-05-2020 00:43:52,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2756,80550,7339,219617,,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,18-05-2020 00:43:52,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0979,25749,2346,70204,,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,18-05-2020 00:43:52,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0194,5102,465,13909,,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,51,18-05-2020 00:43:52,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0499,13130,1196,35798,,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
52,52,18-05-2020 00:43:52,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0193,5075,462,13836,,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,53,18-05-2020 00:43:52,Tbilisi,54915c4374,"""Express Batumi"" марки н-боооом 8 шт.",True,нет,4,Тбилиси,8 гр,0.0101,2685,245,7321,,100.0,,,,,,,,,,,"""Express Batumi"" marki n-boooom 8 sht."
54,54,18-05-2020 00:43:52,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0909,24165,2202,65885,,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,55,18-05-2020 00:43:52,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0404,10740,978,29282,,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,56,18-05-2020 00:43:52,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0707,18795,1712,51244,,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,18-05-2020 00:43:52,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0424,11277,1027,30746,,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,18-05-2020 00:43:52,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0101,2685,245,7321,,100.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
59,59,18-05-2020 00:43:52,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0808,21480,1957,58564,,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,18-05-2020 00:43:52,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0293,7787,709,21230,,290.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
61,61,18-05-2020 00:43:52,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2248,59741,5443,162882,,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
62,62,18-05-2020 00:43:52,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1591,41859,3814,114128,,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,63,18-05-2020 00:43:52,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0377,9908,903,27013,,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,64,18-05-2020 00:43:52,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0322,8458,771,23060,,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
65,65,18-05-2020 00:43:52,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5103,134250,12231,366028,,5000.0,,,,,,,,,,,METADON - 20 G.
66,66,18-05-2020 00:43:52,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0611,16083,1465,43850,,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,67,18-05-2020 00:43:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1112,29535,2691,80526,,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
68,68,18-05-2020 00:43:52,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2425,64440,5871,175693,,2400.0,,,,,,,,,,,100 gr marijuana buds
69,69,18-05-2020 00:44:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2021,53700,4892,146411,,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,18-05-2020 00:44:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2526,67125,6116,183014,,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,18-05-2020 00:44:29,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5962,158415,14433,431913,,5900.0,,,,,,,,,,,180 gr marihuana persoalno
72,72,18-05-2020 00:44:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4648,123510,11253,336746,,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,18-05-2020 00:44:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7579,201375,18347,549042,,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,18-05-2020 00:44:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8589,228225,20793,622248,,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,18-05-2020 00:44:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,5370,489,14641,,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,18-05-2020 00:44:29,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0404,10740,978,29282,,400.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
77,77,18-05-2020 00:44:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0202,5370,489,14641,,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,18-05-2020 00:44:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0253,6713,612,18301,,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,79,18-05-2020 00:44:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5296,402750,36693,1098084,,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,18-05-2020 00:45:39,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2222,59070,5382,161052,,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
81,81,18-05-2020 00:45:39,Batumi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,8,Батуми,0.2 гр,0.0098,2610,238,7122,,,,,,,90.0,,,True,,,Buprenorfin (analog suboteksa) 0.2 gr.
82,82,18-05-2020 00:45:39,Batumi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",,нет,27,Батуми,0.5 гр,0.0091,2417,220,6589,,90.0,,,,,,,,True,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
83,83,18-05-2020 00:45:39,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0036,957,87,2611,,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
84,84,18-05-2020 00:45:39,Batumi,54915c4374,"""Express Batumi"" марки н-боооом 8 шт.",,нет,10,Батуми,8 гр,0.0101,2685,245,7321,,100.0,,,,,,,,True,,,"""Express Batumi"" marki n-boooom 8 sht."
85,85,18-05-2020 00:45:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1559,51992,3774,112990,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,86,18-05-2020 00:45:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2468,82321,5976,178900,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,87,18-05-2020 00:45:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,2685,245,7321,,100.0,,,,,,,,True,,,kur'er v Batumi
88,88,18-05-2020 00:45:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,6713,612,18301,,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,18-05-2020 00:45:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,6713,612,18301,,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
90,90,18-05-2020 00:45:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5285,402750,36693,1098084,,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,18-05-2020 00:45:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0505,13425,1223,36603,,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,18-05-2020 00:46:55,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0208,5639,514,15373,,210.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,18-05-2020 00:46:55,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0485,13022,1186,35505,,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,94,18-05-2020 00:46:55,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.037000000000000005,9935,905,27086,,370.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,95,18-05-2020 00:46:55,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0202,5370,489,14641,,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
