,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
64,27-07-2020 21:59:50,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7892,608473,237150,20313,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,27-07-2020 21:59:50,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0169,14317,5580,478,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,27-07-2020 21:59:50,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0093,7159,2790,239,100,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
67,27-07-2020 21:59:50,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0232,17896,6975,597,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,27-07-2020 21:59:50,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0506,42951,16740,1434,600,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
69,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0186,14317,5580,478,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,27-07-2020 22:00:50,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0232,17896,6975,597,250,,,,,,,,,,,,Rabota na marki (kur'er)
71,27-07-2020 22:00:50,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0464,35793,13950,1195,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
72,27-07-2020 22:00:50,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4042,1073775,418500,35847,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,27-07-2020 22:00:50,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0464,35793,13950,1195,500,,,,True,,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
74,27-07-2020 22:03:27,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,1,нет,Батуми,2 гр,0.0039,3007,1172,100,42,,,,,,,,,,True,,Melkie shishki (Indica) 2g
75,27-07-2020 22:03:27,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0235,20044,7812,669,280,,,,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
76,27-07-2020 22:03:27,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0415,32213,12555,1075,450,,,,,,,,,,,True,Super Critical 10G
77,27-07-2020 22:03:27,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0338,25971,10137,859,,,,,,,310,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
78,27-07-2020 22:03:27,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.048,36861,14388,1219,,,,,,,440,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
79,27-07-2020 22:03:27,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0425,32673,12753,1081,,,,,,,390,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,27-07-2020 22:03:27,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0435,33427,13047,1106,,,,,,,399,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
81,27-07-2020 22:03:27,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0084,7159,2790,239,100,,,,,,,,,,True,,kur'er v Batumi
82,27-07-2020 22:03:27,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.021,17896,6975,597,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
83,27-07-2020 22:03:27,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.021,17896,6975,597,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
84,27-07-2020 22:03:27,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0185,14317,5580,478,200,,,,,,,,,,True,,Kur'er Batumi na marihuanu
85,27-07-2020 22:03:27,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3974,1073775,418500,35847,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
86,27-07-2020 22:03:27,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0462,35793,13950,1195,500,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
