,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Saburtalo,Авлобари,Батуми,Центр,desc_en
49,49,14-06-2020 20:09:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2544,172805,67250,5945,,True,2500.0,,,,,,,Marihuana [Shishki] [Gali] 100G
50,50,14-06-2020 20:09:50,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,нет,2,Тбилиси,150 гр,0.0188,12788,4977,440,,True,185.0,,,,,,,GABAGAMA 150 shtuk
51,51,14-06-2020 20:09:50,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6003,407819,158710,14031,,True,5900.0,,,,,,,180 gr marihuana persoalno
52,52,14-06-2020 20:09:50,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4364,293768,114325,10107,,True,4250.0,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
53,53,14-06-2020 20:09:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4681,317961,123740,10939,,True,4600.0,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,54,14-06-2020 20:09:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7631,518414,201750,17836,,True,7500.0,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,55,14-06-2020 20:09:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8649,587536,228650,20214,,True,8500.0,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,14-06-2020 20:09:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13824,5380,476,,True,200.0,,,,,,,KURYER..500RUB.+BONUS
57,57,14-06-2020 20:09:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13824,5380,476,,True,200.0,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,58,14-06-2020 20:09:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5401,1036829,403500,35672,,True,15000.0,,,,,,,Vakansija optovogo kur'era na mef
59,59,14-06-2020 20:11:43,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,нет,Батуми,10 гр,0.0419,29031,11298,999,,,420.0,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
60,60,14-06-2020 20:11:43,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1666,112990,51992,3855,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
61,61,14-06-2020 20:11:43,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2638,178900,82321,6103,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
62,62,14-06-2020 20:11:43,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2690,238,,,100.0,,,,,True,,kur'er v Batumi
63,63,14-06-2020 20:11:43,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17280,6725,595,,,250.0,,,,,True,,Rabota kladmenom. Tol'ko shishki.
64,64,14-06-2020 20:11:43,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17280,6725,595,,,250.0,,,,,True,,Ischu kur'era v Gruzii!
65,65,14-06-2020 20:11:43,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13824,5380,476,,,200.0,,,,,True,,Kur'er Batumi na marihuanu
66,66,14-06-2020 20:11:43,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5426,1036829,403500,35672,,,15000.0,,,,,True,,Vakansija optovogo kur'era na mef
67,67,14-06-2020 20:11:43,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.051,34561,13450,1189,,,500.0,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
