,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
94,94,24-02-2020 06:42:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2698,190000,87429,6536,,,,,,,,,,,reagent 25i nbome. 5gr
95,95,24-02-2020 06:42:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2739,192902,73530,6636,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
96,96,24-02-2020 06:42:02,Tbilisi,dd631c4acf,❄❄5g. HQ coco Best OFFER❄❄,True,нет,5,Тбилиси,5 гр,0.0871,55234,21054,1900,859.0,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
97,97,24-02-2020 06:42:02,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0496,31443,11985,1082,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
98,98,24-02-2020 06:42:02,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0183,11574,4412,398,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
99,99,24-02-2020 06:42:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0812,52000,23928,1789,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
100,100,24-02-2020 06:42:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0703,45011,17157,1548,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
101,101,24-02-2020 06:42:48,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0401,25656,9779,883,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
102,102,24-02-2020 06:42:48,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,2,Тбилиси,10 гр,0.2282,160752,61275,5530,2500.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
103,103,24-02-2020 06:42:48,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0355,22505,8579,774,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
104,104,24-02-2020 06:42:48,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0803,51441,19608,1770,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
105,105,24-02-2020 06:42:48,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0364,25656,9779,883,399.0,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
106,106,24-02-2020 06:42:48,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2234,143069,54535,4922,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
107,107,24-02-2020 06:42:48,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0303,19226,7328,661,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
108,108,24-02-2020 06:42:48,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3013,212193,80883,7300,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
109,109,24-02-2020 06:42:48,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.071,45011,17157,1548,700.0,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
110,110,24-02-2020 06:42:48,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0675,45011,17157,1548,700.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
111,111,24-02-2020 06:42:48,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1096,77161,29412,2654,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
112,112,24-02-2020 06:42:48,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0963,64237,24485,2210,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
113,113,24-02-2020 06:42:48,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0954,61086,23285,2101,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
114,114,24-02-2020 06:42:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2008,128602,49020,4424,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
115,115,24-02-2020 06:42:48,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1808,115741,44118,3982,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
116,116,24-02-2020 06:42:48,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2511,160752,61275,5530,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
117,117,24-02-2020 06:42:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4619,295784,112746,10175,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
118,118,24-02-2020 06:42:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7532,482256,183825,16590,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
119,119,24-02-2020 06:42:48,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8536,546557,208335,18802,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
120,120,24-02-2020 06:42:48,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0183,12860,4902,442,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
121,121,24-02-2020 06:42:48,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0183,12860,4902,442,200.0,,,,,,,,,,Trebuetsja Kur'er
122,122,24-02-2020 06:42:48,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0201,12860,4902,442,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
123,123,24-02-2020 06:42:48,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0251,16075,6128,553,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
124,124,24-02-2020 06:42:48,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.52,964512,367650,33180,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
125,125,24-02-2020 06:44:04,Batumi,d30ed85c42,Amphetamine-sulphate 0.5g Best Billy.,,1,нет,Батуми,0.5 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,True,,,Amphetamine-sulphate 0.5g Best Billy.
126,126,24-02-2020 06:44:04,Batumi,d30ed85c42,XTC-MDMA 0.5g purity 93%+,,10,нет,Батуми,0.5 гр,0.008,5080,1936,175,79.0,,,,,,,True,,,XTC-MDMA 0.5g purity 93%+
127,127,24-02-2020 06:44:04,Batumi,c72111ac1a,NZT-52 mind storm limited 1г мука,,8,нет,Батуми,1 гр,0.0173,12217,4657,420,190.0,,,,,,,True,,,NZT-52 mind storm limited 1g muka
128,128,24-02-2020 06:44:04,Batumi,012f23b5ea,Power Africa 1g,,2,нет,Батуми,1 гр,0.0046,3215,1226,111,50.0,,,,,,,True,,,Power Africa 1g
129,129,24-02-2020 06:44:04,Batumi,3c4662c591,KALI MIST 2G,,1,нет,Батуми,2 гр,0.01,6430,2451,221,100.0,,,,,,,,True,,KALI MIST 2G
130,130,24-02-2020 06:44:04,Batumi,d4df7908c3,"Шишки / weeds OG Kush, 2г",,1,нет,Батуми,2 гр,0.008,5080,1936,175,79.0,,,,,,,True,,,"Shishki / weeds OG Kush, 2g"
131,131,24-02-2020 06:44:04,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,9,Батуми,0.27 гр,0.023,14596,5564,502,227.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
132,132,24-02-2020 06:44:04,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0183,12860,4902,442,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
133,133,24-02-2020 06:44:04,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0954,61086,23285,2101,950.0,,,,,,,True,,,Hybrid Skunk! 50 gr
134,134,24-02-2020 06:44:04,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1808,115741,44118,3982,1800.0,,,,,,,True,,,Hybrid Skunk! 100 gr
135,135,24-02-2020 06:44:04,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3043,192902,73530,6636,3000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
136,136,24-02-2020 06:44:04,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,4,Батуми,150 гр,0.2536,160752,61275,5530,2500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
137,137,24-02-2020 06:44:04,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0101,6430,2451,221,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
138,138,24-02-2020 06:44:04,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0046,3215,1226,111,50.0,,,,,,,True,,,kur'er v Batumi
139,139,24-02-2020 06:44:04,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0046,3215,1226,111,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
140,140,24-02-2020 06:44:04,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0071,5000,2301,172,,,,,,,,True,,,Vakansija Kur'era v Batumi
141,141,24-02-2020 06:44:04,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0228,16075,6128,553,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
142,142,24-02-2020 06:44:04,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0228,16075,6128,553,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
143,143,24-02-2020 06:44:04,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.52,964512,367650,33180,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
144,144,24-02-2020 06:44:04,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0502,32150,12255,1106,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
145,145,24-02-2020 06:45:02,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,1,нет,Кутаиси,0.5 гр,0.002,1286,490,44,20.0,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
146,146,24-02-2020 06:45:02,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,1,нет,Кутаиси,1 гр,0.0039,2443,931,84,38.0,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
147,147,24-02-2020 06:45:02,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0075,4758,1814,164,74.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
148,148,24-02-2020 06:45:02,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.011000000000000001,6944,2647,239,108.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
149,149,24-02-2020 06:45:02,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0101,6430,2451,221,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
