,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
106,106,15-02-2020 22:43:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8351,539356,209440,18688,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
107,107,15-02-2020 22:43:43,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0179,12691,4928,440,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
108,108,15-02-2020 22:43:43,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0179,12691,4928,440,200.0,,,,,,,,,,Trebuetsja Kur'er
109,109,15-02-2020 22:43:43,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0197,12691,4928,440,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
110,110,15-02-2020 22:43:43,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
111,111,15-02-2020 22:43:43,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4871,951804,369600,32979,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
112,112,15-02-2020 22:45:07,Batumi,ea97036e14,Метамфетамин рацемат 2г (MQ),,1,нет,Батуми,2 гр,0.0085,5394,2094,187,85.0,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
113,113,15-02-2020 22:45:07,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,8,10,Батуми,0.27 гр,0.0226,14404,5593,499,227.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
114,114,15-02-2020 22:45:07,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0179,12691,4928,440,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
115,115,15-02-2020 22:45:07,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0936,60281,23408,2089,950.0,,,,,,,True,,,Hybrid Skunk! 50 gr
116,116,15-02-2020 22:45:07,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1773,114216,44352,3957,1800.0,,,,,,,True,,,Hybrid Skunk! 100 gr
117,117,15-02-2020 22:45:07,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2985,190361,73920,6596,3000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
118,118,15-02-2020 22:45:07,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2487,158634,61600,5497,2500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
119,119,15-02-2020 22:45:07,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.01,6345,2464,220,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
120,120,15-02-2020 22:45:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0045,3173,1232,110,50.0,,,,,,,True,,,kur'er v Batumi
121,121,15-02-2020 22:45:07,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0045,3173,1232,110,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
122,122,15-02-2020 22:45:07,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0071,5000,2301,173,,,,,,,,True,,,Vakansija Kur'era v Batumi
123,123,15-02-2020 22:45:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0224,15863,6160,550,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
124,124,15-02-2020 22:45:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4909999999999999,951804,369600,32979,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
125,125,15-02-2020 22:45:07,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0493,31727,12320,1099,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
126,126,15-02-2020 22:46:39,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,3,нет,Кутаиси,0.5 гр,0.0022,1396,542,48,22.0,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
127,127,15-02-2020 22:46:39,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.004,2538,986,88,40.0,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
128,128,15-02-2020 22:46:39,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0079,5076,1971,176,80.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
129,129,15-02-2020 22:46:39,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.011000000000000001,7043,2735,244,111.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
130,130,15-02-2020 22:46:39,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0099,6345,2464,220,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
