,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
16,16,07-06-2020 07:59:49,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0215,14413,5639,500,,,True,210.0,,,,,,,,✨✨2gram. MDMA✨✨
17,17,07-06-2020 07:59:49,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0378,25325,9908,879,,,True,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,07-06-2020 07:59:49,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0592,39738,15546,1379,,,True,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,07-06-2020 07:59:49,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0405,27453,10740,952,,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,07-06-2020 07:59:49,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0709,48042,18795,1667,,,True,700.0,,,,,,,,"""Kief"" Weed trichomes 5G"
21,21,07-06-2020 07:59:49,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0557,37748,14768,1310,,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,07-06-2020 07:59:49,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16129,6310,560,,,True,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,23,07-06-2020 07:59:49,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16472,6444,571,,,True,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,07-06-2020 07:59:49,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15785,6176,548,,,True,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25,07-06-2020 07:59:49,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16472,6444,571,,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
26,26,07-06-2020 07:59:49,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16472,6444,571,,,True,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,07-06-2020 07:59:49,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15785,6176,548,,,True,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,07-06-2020 07:59:49,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0202,15030,5880,521,,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,07-06-2020 07:59:49,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0256,17158,6713,595,,,True,250.0,,,,,,,,MARIXYANA - INDICA - 5 G.
30,30,07-06-2020 07:59:49,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16129,6310,560,,,True,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,07-06-2020 07:59:49,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0253,17158,6713,595,,,,250.0,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
32,32,07-06-2020 07:59:49,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6592,,,True,,,,,,,,,reagent 25i nbome. 5gr
33,33,07-06-2020 07:59:49,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2763,205896,80550,7143,,,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,34,07-06-2020 08:00:38,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0981,65818,25749,2283,,,True,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,35,07-06-2020 08:00:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,13040,5102,452,,,True,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,07-06-2020 08:00:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.05,33561,13130,1164,,,True,489.0,,,,,,,,💘✨5g. MDMA ✨💘
37,37,07-06-2020 08:00:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0912,61769,24165,2143,,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,07-06-2020 08:00:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0405,27453,10740,952,,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,07-06-2020 08:00:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0709,48042,18795,1667,,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,07-06-2020 08:00:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0426,28825,11277,1000,,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,07-06-2020 08:00:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0811,54906,21480,1905,,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,07-06-2020 08:00:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0271,18325,7169,636,,,True,267.0,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
43,43,07-06-2020 08:00:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2254,152706,59741,5298,,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
44,44,07-06-2020 08:00:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1595,106997,41859,3712,,,True,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,45,07-06-2020 08:00:38,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0827,55455,21695,1924,,,True,808.0,,,,,,,,💘✨10gram MDMA ✨💘
46,46,07-06-2020 08:00:38,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0378,25325,9908,879,,,True,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,07-06-2020 08:00:38,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0357,24021,9398,833,,,True,350.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,48,07-06-2020 08:00:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0517,35002,13694,1214,,,True,510.0,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
49,49,07-06-2020 08:00:38,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5116,343160,134250,11905,,,True,5000.0,,,,,,,,METADON - 20 G.
50,50,07-06-2020 08:00:38,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1382,102948,40275,3572,,,True,1500.0,,,,,,,,✨💘20g MDMA💘✨
51,51,07-06-2020 08:00:38,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0613,41111,16083,1426,,,True,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,07-06-2020 08:00:38,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1316,89153,34878,3093,,,True,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
53,53,07-06-2020 08:00:38,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2532,171511,67098,5950,,,True,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
54,54,07-06-2020 08:00:38,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2432,164717,64440,5714,,,True,2400.0,,,,,,,,100 gr marijuana buds
55,55,07-06-2020 08:00:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2026,137264,53700,4762,,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,07-06-2020 08:00:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2533,171580,67125,5953,,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,07-06-2020 08:00:38,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5978,404928,158415,14048,,,True,5900.0,,,,,,,,180 gr marihuana persoalno
58,58,07-06-2020 08:00:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4661,315707,123510,10953,,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,07-06-2020 08:00:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7599,514739,201375,17858,,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,07-06-2020 08:00:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8612,583371,228225,20239,,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,07-06-2020 08:00:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,13726,5370,476,,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
62,62,07-06-2020 08:00:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0203,13726,5370,476,,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,07-06-2020 08:00:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0253,17158,6713,595,,,True,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
64,64,07-06-2020 08:00:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5336,1029479,402750,35715,,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
65,65,07-06-2020 08:02:08,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0417,28825,11277,1000,,,,420.0,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
66,66,07-06-2020 08:02:08,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5119,343160,134250,11905,,,,5000.0,,,,,True,,,METADON - 20 G.
67,67,07-06-2020 08:02:08,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1669,112990,51992,3920,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,68,07-06-2020 08:02:08,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2642,178900,82321,6207,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,69,07-06-2020 08:02:08,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6863,2685,238,,,,100.0,,,,,True,,,kur'er v Batumi
70,70,07-06-2020 08:02:08,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17158,6713,595,,,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,07-06-2020 08:02:08,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17158,6713,595,,,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
72,72,07-06-2020 08:02:08,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13726,5370,476,,,,200.0,,,,,True,,,Kur'er Batumi na marihuanu
73,73,07-06-2020 08:02:08,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0288,19491,7600,676,250.0,,,,,,,,True,,,Rabota na marki (kur'er)
74,74,07-06-2020 08:02:08,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5343,1029479,402750,35715,,,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
75,75,07-06-2020 08:02:08,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0507,34316,13425,1191,,,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,07-06-2020 08:04:13,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0288,19491,7600,676,250.0,,,,,,,,,,True,Rabota na marki (kur'er)
