,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
72,72,05-03-2020 08:12:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4941,303961,114724,10263,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,05-03-2020 08:12:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8055,495588,187050,16733,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,05-03-2020 08:12:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9129999999999999,561666,211990,18964,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,05-03-2020 08:12:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0195,13216,4988,446,200.0,,,,,,,,,KURYER..500RUB.+BONUS
76,76,05-03-2020 08:12:35,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0195,13216,4988,446,200.0,,,,,,,,,Trebuetsja Kur'er
77,77,05-03-2020 08:12:35,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0146,9912,3741,335,150.0,,,,,,,,,Rabota na marki (kur'er)
78,78,05-03-2020 08:12:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0215,13216,4988,446,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,05-03-2020 08:12:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,16520,6235,558,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,80,05-03-2020 08:12:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6257,991176,374100,33467,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
81,81,05-03-2020 08:14:02,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1611,99118,37410,3347,1500.0,,,,,,True,,,Skunk! 50 gr.
82,82,05-03-2020 08:14:02,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0293,17841,6734,602,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
83,83,05-03-2020 08:14:02,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0195,13216,4988,446,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
84,84,05-03-2020 08:14:02,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.217,132157,49880,4462,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
85,85,05-03-2020 08:14:02,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1627,99118,37410,3347,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
86,86,05-03-2020 08:14:02,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0108,6608,2494,223,100.0,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
87,87,05-03-2020 08:14:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3304,1247,112,50.0,,,,,,True,,,kur'er v Batumi
88,88,05-03-2020 08:14:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0244,16520,6235,558,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,05-03-2020 08:14:02,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0146,9912,3741,335,150.0,,,,,,True,,,Rabota na marki (kur'er)
90,90,05-03-2020 08:14:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0244,16520,6235,558,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
91,91,05-03-2020 08:14:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6257,991176,374100,33467,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,05-03-2020 08:14:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0537,33039,12470,1116,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,05-03-2020 08:15:12,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0117,7136,2694,241,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
94,94,05-03-2020 08:15:12,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0108,6608,2494,223,100.0,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
95,95,05-03-2020 08:15:12,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0146,9912,3741,335,150.0,,,,,,,,True,Rabota na marki (kur'er)
