,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-04-2020 09:07:18,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0048,2581,959,87,35.0,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,12-04-2020 09:07:18,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0047,2508,932,84,34.0,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,2,12-04-2020 09:07:18,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,1,нет,Тбилиси,0.5 гр,0.022000000000000002,13718,5096,460,186.0,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
3,3,12-04-2020 09:07:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0144,8039,2987,270,109.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,12-04-2020 09:07:18,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0172,9588,3562,322,130.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,12-04-2020 09:07:18,Tbilisi,2f51af8159,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,2,нет,Тбилиси,0.5 гр,0.0041,2213,822,74,30.0,True,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
6,6,12-04-2020 09:07:18,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0151,8039,2987,270,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,12-04-2020 09:07:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0069,4056,1507,136,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,12-04-2020 09:07:18,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,7,нет,Тбилиси,1 гр,0.0076,4056,1507,136,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,12-04-2020 09:07:18,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0078,4204,1562,141,57.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,12-04-2020 09:07:18,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,1 гр,0.0078,4204,1562,141,57.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,12-04-2020 09:07:18,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,2,нет,Тбилиси,1 гр,0.0028,1475,548,50,20.0,,,,,,,,,,,1 gr listja plus galovki marihuana
12,12,12-04-2020 09:07:18,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,7,нет,Тбилиси,1 гр,0.0076,4056,1507,136,55.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
13,13,12-04-2020 09:07:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0256,14308,5316,480,194.0,,,,,,,,,,,Cocaine Pure VHQ 1g
14,14,12-04-2020 09:07:18,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0825,44251,16440,1485,600.0,True,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
15,15,12-04-2020 09:07:18,Tbilisi,2f51af8159,Super Quality Mango Haze Hybrid 1 Gram,,1,нет,Тбилиси,1 гр,0.0066,3540,1315,119,48.0,True,,,,,,,,,,Super Quality Mango Haze Hybrid 1 Gram
16,16,12-04-2020 09:07:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0277,15488,5754,520,210.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
17,17,12-04-2020 09:07:18,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1125,66376,24660,2228,900.0,,,,,,,,,,,Metadon 1gr
18,18,12-04-2020 09:07:18,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,5,нет,Тбилиси,1 гр,0.0025,1475,548,50,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,19,12-04-2020 09:07:18,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0263,13939,5179,468,189.0,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
20,20,12-04-2020 09:07:18,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,1,нет,Тбилиси,1.1 гр,0.0061,3319,1233,111,45.0,,True,,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
21,21,12-04-2020 09:07:18,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,2 гр,0.0125,7375,2740,248,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
22,22,12-04-2020 09:07:18,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,1,нет,Тбилиси,2 гр,0.0131,7006,2603,235,95.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
23,23,12-04-2020 09:07:18,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0118,6269,2329,210,85.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
24,24,12-04-2020 09:07:18,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0097,5163,1918,173,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
25,25,12-04-2020 09:07:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0463,27288,10138,916,370.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
26,26,12-04-2020 09:07:18,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0131,7006,2603,235,95.0,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
27,27,12-04-2020 09:07:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0519,30607,11371,1027,415.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
