,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,06-03-2020 07:07:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0095,6552,2457,221,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,06-03-2020 07:07:35,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,1,нет,Тбилиси,0.5 гр,0.0035,2184,819,74,33.0,,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
2,2,06-03-2020 07:07:35,Tbilisi,edfbad0151,VHQ MDMA Crystal Champagne 82% Pure 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0082,5229,1961,177,79.0,,,,,,,,,,,VHQ MDMA Crystal Champagne 82% Pure 0.5G
3,3,06-03-2020 07:07:35,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,8,нет,Тбилиси,1 гр,0.0053,3309,1241,112,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,06-03-2020 07:07:35,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0053,3309,1241,112,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
5,5,06-03-2020 07:07:35,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0158,9928,3723,335,150.0,,,,,,,,,,,ALFA PVP 1g
6,6,06-03-2020 07:07:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0182,12575,4716,425,190.0,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,06-03-2020 07:07:35,Tbilisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,3,нет,Тбилиси,1 гр,0.0188,11847,4443,400,179.0,True,,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
8,8,06-03-2020 07:07:35,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0187,12244,4592,414,185.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
9,9,06-03-2020 07:07:35,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0188,11847,4443,400,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
10,10,06-03-2020 07:07:35,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,59567,22338,2012,900.0,,,,,,,,,,,Metadon 1gr
11,11,06-03-2020 07:07:35,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,4,нет,Тбилиси,1 гр,0.0019,1324,496,45,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
12,12,06-03-2020 07:07:35,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,2 гр,0.0095,5957,2234,201,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
13,13,06-03-2020 07:07:35,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0033,2316,869,78,35.0,,True,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
14,14,06-03-2020 07:07:35,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0382,25084,9407,847,379.0,,,,,,,,,,,Kokain HQ 2g.
15,15,06-03-2020 07:07:35,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0382,23827,8935,805,360.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
16,16,06-03-2020 07:07:35,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,3 гр,0.0112,7368,2778,249,,,,100.0,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
17,17,06-03-2020 07:07:35,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0281,18421,6945,623,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
18,18,06-03-2020 07:07:35,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,3,нет,Тбилиси,3 гр,0.0122,7611,2854,257,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
19,19,06-03-2020 07:07:35,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0306,21179,7942,715,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
20,20,06-03-2020 07:07:35,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0449,29474,11112,996,,,,400.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
21,21,06-03-2020 07:07:35,Tbilisi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Тбилиси,5 гр,0.0263,16546,6205,559,250.0,,,,True,,,,,,,Super Critical HIGHEST QUALITY 5G
22,22,06-03-2020 07:07:35,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0062,4302,1613,145,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
